,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,bird:643,person:648,bird:651,person:652,bird:656,backpack:658,person:663,kite:666
person:119,0,400,829,288,929,828,1841,1359,1168,1799,2042,2451,2067,1535,1042,711
person:377,400,0,439,128,546,1224,2190,1757,1524,2195,2416,2847,2382,1934,654,860
person:566,829,439,0,541,111,1658,2523,2188,1874,2629,2778,3281,2669,2363,214,1073
person:583,288,128,541,0,642,1116,2062,1646,1395,2087,2288,2739,2255,1822,754,752
person:587,929,546,111,642,0,1758,2585,2286,1945,2728,2850,3379,2718,2459,115,1117
person:596,828,1224,1658,1116,1758,0,1355,534,789,971,1429,1623,1692,717,1871,1123
bird:537,1841,2190,2523,2062,2585,1355,0,1166,672,1279,367,1598,392,1096,2696,1494
person:641,1359,1757,2188,1646,2286,534,1166,0,859,443,1102,1093,1552,189,2400,1531
bird:643,1168,1524,1874,1395,1945,789,672,859,0,1190,904,1733,937,907,2058,908
person:648,1799,2195,2629,2087,2728,971,1279,443,1190,0,1085,652,1669,296,2841,1954
bird:651,2042,2416,2778,2288,2850,1429,367,1102,904,1085,0,1284,662,979,2962,1791
person:652,2451,2847,3281,2739,3379,1623,1598,1093,1733,652,1284,0,1946,927,3493,2567
bird:656,2067,2382,2669,2255,2718,1692,392,1552,937,1669,662,1946,0,1488,2822,1601
backpack:658,1535,1934,2363,1822,2459,717,1096,189,907,296,979,927,1488,0,2573,1658
person:663,1042,654,214,754,115,1871,2696,2400,2058,2841,2962,3493,2822,2573,0,1221
kite:666,711,860,1073,752,1117,1123,1494,1531,908,1954,1791,2567,1601,1658,1221,0
