,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,bird:643,person:648,bird:651,person:652,bird:656,backpack:658,person:663,kite:666,person:667
person:119,0,403,833,289,940,818,1927,1305,1224,1791,2129,2448,2171,1454,1046,697,2051
person:377,403,0,439,113,551,1217,2284,1707,1587,2190,2505,2848,2495,1857,653,869,2449
person:566,833,439,0,547,117,1651,2629,2139,1948,2624,2873,3282,2797,2286,214,1109,2884
person:583,289,113,547,0,656,1105,2178,1594,1479,2079,2395,2736,2396,1744,761,796,2338
person:587,940,551,117,656,0,1758,2700,2243,2026,2729,2951,3387,2855,2389,108,1162,2990
person:596,818,1217,1651,1105,1758,0,1405,491,791,973,1510,1631,1754,647,1864,1066,1232
bird:537,1927,2284,2629,2178,2700,1405,0,1176,702,1224,325,1505,413,1089,2804,1559,1358
person:641,1305,1707,2139,1594,2243,491,1176,0,790,486,1182,1143,1575,161,2350,1431,750
bird:643,1224,1587,1948,1479,2026,791,702,790,0,1113,925,1653,987,805,2133,933,1348
person:648,1791,2190,2624,2079,2729,973,1224,486,1113,0,1097,657,1636,355,2836,1888,265
bird:651,2129,2505,2873,2395,2951,1510,325,1182,925,1097,0,1250,621,1060,3057,1834,1174
person:652,2448,2848,3282,2736,3387,1631,1505,1143,1653,657,1250,0,1870,1001,3494,2507,404
bird:656,2171,2495,2797,2396,2855,1754,413,1575,987,1636,621,1870,0,1498,2954,1692,1758
backpack:658,1454,1857,2286,1744,2389,647,1089,161,805,355,1060,1001,1498,0,2497,1534,620
person:663,1046,653,214,761,108,1864,2804,2350,2133,2836,3057,3494,2954,2497,0,1261,3097
kite:666,697,869,1109,796,1162,1066,1559,1431,933,1888,1834,2507,1692,1534,1261,0,2150
person:667,2051,2449,2884,2338,2990,1232,1358,750,1348,265,1174,404,1758,620,3097,2150,0
