,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,kite:643,person:648,bird:651,person:652,bird:656,backpack:658,person:663,kite:666,person:667,bird:668
person:119,0,412,834,292,942,815,1976,1275,1258,1788,2167,2448,2223,1414,1050,697,2048,2043
person:377,412,0,432,121,546,1223,2347,1685,1634,2197,2554,2857,2561,1825,650,890,2456,2436
person:566,834,432,0,544,118,1649,2687,2110,1991,2623,2915,3283,2860,2247,217,1133,2883,2806
person:583,292,121,544,0,654,1106,2230,1567,1516,2080,2434,2740,2450,1706,761,803,2339,2315
person:587,942,546,118,654,0,1757,2761,2216,2072,2730,2995,3389,2921,2351,109,1190,2991,2890
person:596,815,1223,1649,1106,1757,0,1436,464,795,974,1540,1634,1785,609,1865,1038,1233,1395
bird:537,1976,2347,2687,2230,2761,1436,0,1195,718,1207,306,1463,418,1101,2865,1591,1331,329
person:641,1275,1685,2110,1567,2216,464,1195,0,754,514,1216,1173,1593,151,2324,1376,778,1062
kite:643,1258,1634,1991,1516,2072,795,718,754,0,1070,923,1607,1008,752,2179,950,1305,819
person:648,1788,2197,2623,2080,2730,974,1207,514,1070,0,1096,660,1624,391,2838,1855,265,952
bird:651,2167,2554,2915,2434,2995,1540,306,1216,923,1096,0,1226,609,1094,3102,1847,1165,154
person:652,2448,2857,3283,2740,3389,1634,1463,1173,1607,660,1226,0,1834,1041,3498,2477,406,1137
bird:656,2223,2561,2860,2450,2921,1785,418,1593,1008,1624,609,1834,0,1509,3020,1730,1739,706
backpack:658,1414,1825,2247,1706,2351,609,1101,151,752,391,1094,1041,1509,0,2460,1468,656,939
person:663,1050,650,217,761,109,1865,2865,2324,2179,2838,3102,3498,3020,2460,0,1290,3099,2997
kite:666,697,890,1133,803,1190,1038,1591,1376,950,1855,1847,2477,1730,1468,1290,0,2118,1760
person:667,2048,2456,2883,2339,2991,1233,1331,778,1305,265,1165,406,1739,656,3099,2118,0,1037
bird:668,2043,2436,2806,2315,2890,1395,329,1062,819,952,154,1137,706,939,2997,1760,1037,0
