,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,bird:643,person:648,bird:651,person:652,bird:656,backpack:658,person:663,kite:666,person:667,bird:668
person:119,0,404,837,292,945,812,2032,1242,1291,1786,2213,2448,2279,1373,1054,701,2047,2078
person:377,404,0,443,117,557,1212,2400,1644,1665,2186,2595,2849,2617,1777,662,905,2446,2465
person:566,837,443,0,546,116,1649,2752,2079,2034,2623,2966,3286,2928,2209,218,1157,2884,2845
person:583,292,117,546,0,656,1103,2284,1533,1549,2077,2478,2740,2505,1665,764,810,2338,2348
person:587,945,557,116,656,0,1757,2829,2185,2117,2730,3048,3392,2992,2314,110,1218,2992,2931
person:596,812,1212,1649,1103,1757,0,1473,433,800,974,1578,1637,1819,571,1866,1016,1234,1423
bird:537,2032,2400,2752,2284,2829,1473,0,1223,741,1193,286,1419,421,1122,2935,1631,1305,306
person:641,1242,1644,2079,1533,2185,433,1223,0,724,545,1262,1207,1617,144,2294,1324,809,1100
bird:643,1291,1665,2034,1549,2117,800,741,724,0,1030,932,1563,1033,706,2225,968,1263,814
person:648,1786,2186,2623,2077,2730,974,1193,545,1030,0,1104,662,1615,427,2839,1828,266,952
bird:651,2213,2595,2966,2478,3048,1578,286,1262,932,1104,0,1205,594,1140,3156,1870,1161,163
person:652,2448,2849,3286,2740,3392,1637,1419,1207,1563,662,1205,0,1798,1082,3502,2450,408,1114
bird:656,2279,2617,2928,2505,2992,1819,421,1617,1033,1615,594,1798,0,1527,3093,1773,1719,695
backpack:658,1373,1777,2209,1665,2314,571,1122,144,706,427,1140,1082,1527,0,2423,1407,694,976
person:663,1054,662,218,764,110,1866,2935,2294,2225,2839,3156,3502,3093,2423,0,1319,3101,3039
kite:666,701,905,1157,810,1218,1016,1631,1324,968,1828,1870,2450,1773,1407,1319,0,2091,1771
person:667,2047,2446,2884,2338,2992,1234,1305,809,1263,266,1161,408,1719,694,3101,2091,0,1028
bird:668,2078,2465,2845,2348,2931,1423,306,1100,814,952,163,1114,695,976,3039,1771,1028,0
