,person:119,person:377,person:566,person:583,person:587,person:596,person:641,person:648,person:652,bird:656,backpack:658,person:663,kite:666,person:667,bird:668
person:119,0,410,841,294,950,808,1203,1783,2447,2337,1331,1053,708,2043,2150
person:377,410,0,443,120,557,1213,1610,2188,2853,2686,1740,657,926,2447,2544
person:566,841,443,0,549,117,1650,2045,2624,3289,3000,2171,214,1183,2885,2924
person:583,294,120,549,0,660,1101,1497,2076,2741,2570,1625,761,828,2336,2424
person:587,950,557,117,660,0,1758,2152,2732,3397,3066,2276,104,1247,2994,3011
person:596,808,1213,1650,1101,1758,0,399,975,1640,1859,536,1861,997,1235,1489
person:641,1203,1610,2045,1497,2152,399,0,580,1244,1653,146,2255,1271,844,1176
person:648,1783,2188,2624,2076,2732,975,580,0,664,1610,468,2836,1803,266,971
person:652,2447,2853,3289,2741,3397,1640,1244,664,0,1766,1125,3500,2426,410,1085
bird:656,2337,2686,3000,2570,3066,1859,1653,1610,1766,0,1544,3162,1819,1700,686
backpack:658,1331,1740,2171,1625,2276,536,146,468,1125,1544,0,2380,1343,734,1040
person:663,1053,657,214,761,104,1861,2255,2836,3500,3162,2380,0,1342,3097,3113
kite:666,708,926,1183,828,1247,997,1271,1803,2426,1819,1343,1342,0,2065,1822
person:667,2043,2447,2885,2336,2994,1235,844,266,410,1700,734,3097,2065,0,1024
bird:668,2150,2544,2924,2424,3011,1489,1176,971,1085,686,1040,3113,1822,1024,0
