,person:119,person:377,person:566,person:583,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,kite:666,person:667,bird:668,bird:651
person:119,0,414,847,298,953,800,1160,1778,2446,1284,1057,718,2038,2217,2320
person:377,414,0,443,121,555,1210,1572,2188,2856,1697,655,950,2446,2616,2713
person:566,847,443,0,549,114,1647,2007,2625,3293,2128,212,1216,2885,2998,3085
person:583,298,121,549,0,656,1098,1459,2077,2744,1582,759,846,2336,2494,2591
person:587,953,555,114,656,0,1753,2112,2730,3398,2231,104,1279,2991,3083,3167
person:596,800,1210,1647,1098,1753,0,364,978,1646,499,1857,974,1237,1557,1684
person:641,1160,1572,2007,1459,2112,364,0,618,1285,147,2216,1212,881,1259,1398
person:648,1778,2188,2625,2077,2730,978,618,0,667,513,2834,1772,264,1002,1154
person:652,2446,2856,3293,2744,3398,1646,1285,667,0,1172,3502,2396,413,1071,1191
backpack:658,1284,1697,2128,1582,2231,499,147,513,1172,0,2335,1269,778,1116,1256
person:663,1057,655,212,759,104,1857,2216,2834,3502,2335,0,1375,3095,3185,3269
kite:666,718,950,1216,846,1279,974,1212,1772,2396,1269,1375,0,2031,1858,1924
person:667,2038,2446,2885,2336,2991,1237,881,264,413,778,3095,2031,0,1034,1180
bird:668,2217,2616,2998,2494,3083,1557,1259,1002,1071,1116,3185,1858,1034,0,152
bird:651,2320,2713,3085,2591,3167,1684,1398,1154,1191,1256,3269,1924,1180,152,0
