,person:119,person:377,person:566,person:583,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,kite:666,person:667,bird:668,kite:669,bird:651,bird:537
person:119,0,438,867,330,975,758,1018,1762,2435,1176,1076,735,2017,2420,806,2492,2279
person:377,438,0,440,125,555,1192,1454,2196,2868,1614,652,1014,2449,2844,1201,2909,2688
person:566,867,440,0,537,119,1626,1885,2629,3302,2040,211,1300,2884,3228,1568,3280,3049
person:583,330,125,537,0,646,1089,1348,2092,2765,1504,746,893,2347,2722,1077,2785,2563
person:587,975,555,119,646,0,1734,1992,2737,3409,2144,101,1366,2992,3315,1654,3362,3127
person:596,758,1192,1626,1089,1734,0,266,1004,1676,438,1835,888,1258,1768,565,1871,1697
person:641,1018,1454,1885,1348,1992,266,0,745,1417,178,2093,1023,1002,1525,632,1637,1480
person:648,1762,2196,2629,2092,2737,1004,745,0,672,608,2837,1678,259,1088,1262,1251,1210
person:652,2435,2868,3302,2765,3409,1676,1417,672,0,1272,3510,2304,422,1010,1892,1187,1287
backpack:658,1176,1614,2040,1504,2144,438,178,608,1272,0,2245,1090,867,1348,679,1463,1314
person:663,1076,652,211,746,101,1835,2093,2837,3510,2245,0,1462,3093,3415,1754,3462,3226
kite:666,735,1014,1300,893,1366,888,1023,1678,2304,1090,1462,0,1932,1993,415,2020,1776
person:667,2017,2449,2884,2347,2992,1258,1002,259,422,867,3093,1932,0,1061,1516,1236,1250
bird:668,2420,2844,3228,2722,3315,1768,1525,1088,1010,1348,3415,1993,1061,0,1660,178,335
kite:669,806,1201,1568,1077,1654,565,632,1262,1892,679,1754,415,1516,1660,0,1713,1487
bird:651,2492,2909,3280,2785,3362,1871,1637,1251,1187,1463,3462,2020,1236,178,1713,0,260
bird:537,2279,2688,3049,2563,3127,1697,1480,1210,1287,1314,3226,1776,1250,335,1487,260,0
