,person:119,person:377,person:566,person:583,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,person:667,bird:668,kite:669,bird:651,bird:537
person:119,0,447,877,351,984,719,943,1754,2429,1114,1081,2001,2585,841,2616,2405
person:377,447,0,441,163,555,1162,1388,2197,2872,1562,649,2443,3021,1255,3044,2825
person:566,877,441,0,534,117,1596,1819,2631,3306,1987,208,2878,3408,1630,3418,3188
person:583,351,163,534,0,637,1068,1288,2101,2775,1453,735,2349,2885,1111,2903,2679
person:587,984,555,117,637,0,1704,1925,2738,3412,2090,98,2985,3494,1717,3500,3266
person:596,719,1162,1596,1068,1704,0,233,1035,1710,422,1801,1281,1959,532,2021,1846
person:641,943,1388,1819,1288,1925,233,0,813,1487,193,2023,1062,1735,534,1804,1640
person:648,1754,2197,2631,2101,2738,1035,813,0,674,663,2836,251,1189,1189,1325,1274
person:652,2429,2872,3306,2775,3412,1710,1487,674,0,1330,3510,432,1006,1821,1191,1281
backpack:658,1114,1562,1987,1453,2090,422,193,663,1330,0,2188,915,1542,560,1613,1454
person:663,1081,649,208,735,98,1801,2023,2836,3510,2188,0,3083,3590,1814,3596,3361
person:667,2001,2443,2878,2349,2985,1281,1062,251,432,915,3083,0,1128,1435,1287,1288
bird:668,2585,3021,3408,2885,3494,1959,1735,1189,1006,1542,3590,1128,0,1777,188,385
kite:669,841,1255,1630,1111,1717,532,534,1189,1821,560,1814,1435,1777,0,1791,1570
bird:651,2616,3044,3418,2903,3500,2021,1804,1325,1191,1613,3596,1287,188,1791,0,267
bird:537,2405,2825,3188,2679,3266,1846,1640,1274,1281,1454,3361,1288,385,1570,267,0
