,person:119,person:377,person:566,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,person:667,bird:651,bird:670,bird:537
person:119,0,451,881,985,682,876,1749,2431,1050,1088,1998,2751,1221,2544
person:377,451,0,441,552,1128,1326,2197,2878,1502,655,2444,3184,1657,2970
person:566,881,441,0,113,1563,1757,2631,3312,1927,215,2880,3559,2045,3333
person:587,985,552,113,0,1668,1860,2734,3415,2027,103,2984,3639,2133,3411
person:596,682,1128,1563,1668,0,204,1068,1750,397,1771,1316,2182,710,2005
person:641,876,1326,1757,1860,204,0,873,1555,196,1963,1125,1989,562,1819
person:648,1749,2197,2631,2734,1068,873,0,681,720,2837,256,1423,857,1353
person:652,2431,2878,3312,3415,1750,1555,681,0,1395,3518,439,1226,1445,1288
backpack:658,1050,1502,1927,2027,397,196,720,1395,0,2129,976,1793,417,1626
person:663,1088,655,215,103,1771,1963,2837,3518,2129,0,3087,3731,2228,3501
person:667,1998,2444,2880,2984,1316,1125,256,439,976,3087,0,1376,1094,1354
bird:651,2751,3184,3559,3639,2182,1989,1423,1226,1793,3731,1376,0,1530,261
bird:670,1221,1657,2045,2133,710,562,857,1445,417,2228,1094,1530,0,1327
bird:537,2544,2970,3333,3411,2005,1819,1353,1288,1626,3501,1354,261,1327,0
