,person:119,person:377,person:566,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,person:667,bird:651,kite:670,bird:672,person:673,bird:537
person:119,0,445,881,983,664,859,1751,2433,1025,1087,1997,2824,1253,1059,1118,2619
person:377,445,0,447,555,1103,1302,2192,2874,1471,661,2436,3251,1686,1426,675,3038
person:566,881,447,0,111,1545,1740,2632,3315,1903,215,2878,3632,2084,1760,249,3409
person:587,983,555,111,0,1647,1841,2733,3415,2001,105,2980,3710,2170,1829,191,3484
person:596,664,1103,1545,1647,0,204,1088,1771,388,1751,1333,2269,737,843,1778,2093
person:641,859,1302,1740,1841,204,0,892,1574,187,1944,1140,2075,578,802,1977,1906
person:648,1751,2192,2632,2733,1088,892,0,682,742,2837,251,1479,814,1338,2867,1407
person:652,2433,2874,3315,3415,1771,1574,682,0,1419,3519,442,1251,1399,1922,3550,1307
backpack:658,1025,1471,1903,2001,388,187,742,1419,0,2104,994,1889,426,762,2143,1723
person:663,1087,661,215,105,1751,1944,2837,3519,2104,0,3084,3802,2267,1915,161,3573
person:667,1997,2436,2878,2980,1333,1140,251,442,994,3084,0,1419,1043,1571,3111,1391
bird:651,2824,3251,3632,3710,2269,2075,1479,1251,1889,3802,1419,0,1570,1897,3882,263
kite:670,1253,1686,2084,2170,737,578,814,1399,426,2267,1043,1570,0,528,2333,1373
bird:672,1059,1426,1760,1829,843,802,1338,1922,762,1915,1571,1897,528,0,2008,1661
person:673,1118,675,249,191,1778,1977,2867,3550,2143,161,3111,3882,2333,2008,0,3659
bird:537,2619,3038,3409,3484,2093,1906,1407,1307,1723,3573,1391,263,1373,1661,3659,0
