,person:119,person:377,person:566,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,person:667,bird:672,person:673,bird:537,person:675
person:119,0,437,880,980,648,836,1753,2437,1001,1085,1999,1088,1106,2693,612
person:377,437,0,454,561,1079,1271,2186,2870,1439,666,2431,1452,670,3105,182
person:566,880,454,0,111,1528,1716,2633,3317,1878,213,2880,1793,242,3482,272
person:587,980,561,111,0,1628,1815,2732,3416,1974,105,2980,1859,193,3554,379
person:596,648,1079,1528,1628,0,195,1106,1790,380,1733,1351,855,1750,2176,1258
person:641,836,1271,1716,1815,195,0,917,1601,188,1920,1164,808,1941,1998,1448
person:648,1753,2186,2633,2732,1106,917,0,684,768,2837,250,1318,2857,1458,2364
person:652,2437,2870,3317,3416,1790,1601,684,0,1446,3521,442,1898,3541,1328,3048
backpack:658,1001,1439,1878,1974,380,188,768,1446,0,2078,1018,750,2107,1812,1612
person:663,1085,666,213,105,1733,1920,2837,3521,2078,0,3084,1949,166,3646,484
person:667,1999,2431,2880,2980,1351,1164,250,442,1018,3084,0,1547,3101,1428,2610
bird:672,1088,1452,1793,1859,855,808,1318,1898,750,1949,1547,0,2035,1700,1579
person:673,1106,670,242,193,1750,1941,2857,3541,2107,166,3101,2035,0,3725,494
bird:537,2693,3105,3482,3554,2176,1998,1458,1328,1812,3646,1428,1700,3725,0,3252
person:675,612,182,272,379,1258,1448,2364,3048,1612,484,2610,1579,494,3252,0
