,person:119,person:377,person:566,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,person:667,bird:672,person:673,bird:537,person:675,bird:676
person:119,0,432,883,984,639,797,1750,2435,965,1081,1996,1123,1100,2765,614,1606
person:377,432,0,462,570,1066,1227,2179,2864,1398,666,2422,1486,669,3174,189,2009
person:566,883,462,0,113,1523,1681,2634,3319,1845,205,2879,1834,235,3558,273,2393
person:587,984,570,113,0,1624,1781,2734,3419,1942,96,2980,1901,193,3630,381,2467
person:596,639,1066,1523,1624,0,164,1112,1797,352,1721,1356,872,1736,2252,1252,1153
person:641,797,1227,1681,1781,164,0,953,1638,192,1878,1199,822,1897,2102,1411,1027
person:648,1750,2179,2634,2734,1112,953,0,684,800,2831,249,1298,2848,1513,2364,970
person:652,2435,2864,3319,3419,1797,1638,684,0,1480,3515,444,1870,3533,1354,3049,1395
backpack:658,965,1398,1845,1942,352,192,800,1480,0,2038,1049,744,2066,1910,1579,855
person:663,1081,666,205,96,1721,1878,2831,3515,2038,0,3077,1986,165,3718,477,2555
person:667,1996,2422,2879,2980,1356,1199,249,444,1049,3077,0,1521,3092,1471,2609,1134
bird:672,1123,1486,1834,1901,872,822,1298,1870,744,1986,1521,0,2070,1734,1619,591
person:673,1100,669,235,193,1736,1897,2848,3533,2066,165,3092,2070,0,3794,486,2628
bird:537,2765,3174,3558,3630,2252,2102,1513,1354,1910,3718,1471,1734,3794,0,3326,1166
person:675,614,189,273,381,1252,1411,2364,3049,1579,477,2609,1619,486,3326,0,2160
bird:676,1606,2009,2393,2467,1153,1027,970,1395,855,2555,1134,591,2628,1166,2160,0
