,person:119,person:377,person:566,person:587,person:596,person:641,person:648,person:652,backpack:658,person:667,bird:672,person:673,bird:537,person:675
person:119,0,425,893,996,577,726,1745,2433,863,1981,1263,1099,2931,619
person:377,425,0,481,590,997,1147,2165,2853,1288,2399,1635,689,3335,204
person:566,893,481,0,113,1470,1619,2638,3326,1753,2874,2003,208,3729,277
person:587,996,590,113,0,1573,1721,2740,3428,1852,2976,2074,108,3803,386
person:596,577,997,1470,1573,0,150,1168,1856,305,1403,957,1677,2462,1196
person:641,726,1147,1619,1721,150,0,1018,1706,167,1254,897,1826,2332,1345
person:648,1745,2165,2638,2740,1168,1018,0,688,893,240,1208,2844,1667,2364
person:652,2433,2853,3326,3428,1856,1706,688,0,1578,457,1748,3533,1458,3052
backpack:658,863,1288,1753,1852,305,167,893,1578,0,1133,775,1958,2165,1482
person:667,1981,2399,2874,2976,1403,1254,240,457,1133,0,1412,3081,1615,2599
bird:672,1263,1635,2003,2074,957,897,1208,1748,775,1412,0,2180,1730,1780
person:673,1099,689,208,108,1677,1826,2844,3533,1958,3081,2180,0,3910,485
bird:537,2931,3335,3729,3803,2462,2332,1667,1458,2165,1615,1730,3910,0,3495
person:675,619,204,277,386,1196,1345,2364,3052,1482,2599,1780,485,3495,0
