,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:667,bird:672,person:673,person:675,bird:679
person:119,0,426,898,1005,699,1739,2429,828,1976,1308,1107,623,1788
person:377,426,0,486,599,1121,2159,2849,1253,2395,1683,697,207,2196
person:566,898,486,0,117,1597,2637,3327,1723,2874,2056,211,278,2608
person:587,1005,599,117,0,1704,2743,3433,1827,2981,2131,105,392,2691
person:641,699,1121,1597,1704,0,1039,1729,158,1277,932,1807,1322,1230
person:648,1739,2159,2637,2743,1039,0,690,921,241,1186,2846,2362,893
person:652,2429,2849,3327,3433,1729,690,0,1608,457,1714,3536,3052,1224
backpack:658,828,1253,1723,1827,158,921,1608,0,1162,806,1931,1451,1072
person:667,1976,2395,2874,2981,1277,241,457,1162,0,1387,3084,2598,1013
bird:672,1308,1683,2056,2131,932,1186,1714,806,1387,0,2235,1832,603
person:673,1107,697,211,105,1807,2846,3536,1931,3084,2235,0,490,2796
person:675,623,207,278,392,1322,2362,3052,1451,2598,1832,490,0,2365
bird:679,1788,2196,2608,2691,1230,893,1224,1072,1013,603,2796,2365,0
