,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,bird:45,bird:82
person:1,0,855,2679,1977,1327,2302,3126,3159,3404,927,964
person:2,855,0,1828,1133,473,1454,2274,2385,2556,1249,713
person:3,2679,1828,0,707,1355,379,446,972,729,2742,2048
person:4,1977,1133,707,0,665,328,1152,1338,1427,2060,1362
person:5,1327,473,1355,665,0,981,1801,1958,2083,1575,913
person:9,2302,1454,379,328,981,0,824,1133,1102,2376,1680
person:66,3126,2274,446,1152,1801,824,0,917,293,3167,2478
bird:71,3159,2385,972,1338,1958,1133,917,0,899,2929,2312
person:73,3404,2556,729,1427,2083,1102,293,899,0,3409,2726
bird:45,927,1249,2742,2060,1575,2376,3167,2929,3409,0,697
bird:82,964,713,2048,1362,913,1680,2478,2312,2726,697,0
