,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:667,bird:672,person:673,person:675,bird:679,bird:684
person:119,0,423,924,1021,587,1723,2412,717,1963,1506,1122,638,1991,709
person:377,423,0,510,610,1008,2143,2832,1140,2381,1881,709,220,2397,1020
person:566,924,510,0,101,1512,2648,3336,1636,2888,2290,199,290,2843,1401
person:587,1021,610,101,0,1608,2744,3432,1730,2984,2364,103,390,2924,1474
person:641,587,1008,1512,1608,0,1136,1824,164,1376,1122,1710,1225,1492,677
person:648,1723,2143,2648,2744,1136,0,688,1021,246,1126,2846,2361,913,1528
person:652,2412,2832,3336,3432,1824,688,0,1706,456,1577,3535,3050,1097,2168
backpack:658,717,1140,1636,1730,164,1021,1706,0,1266,965,1833,1354,1328,638
person:667,1963,2381,2888,2984,1376,246,456,1266,0,1311,3086,2600,990,1771
bird:672,1506,1881,2290,2364,1122,1126,1577,965,1311,0,2464,2054,621,890
person:673,1122,709,199,103,1710,2846,3535,1833,3086,2464,0,489,3026,1574
person:675,638,220,290,390,1225,2361,3050,1354,2600,2054,489,0,2588,1174
bird:679,1991,2397,2843,2924,1492,913,1097,1328,990,621,3026,2588,0,1467
bird:684,709,1020,1401,1474,677,1528,2168,638,1771,890,1574,1174,1467,0
