,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:679,bird:684,bird:689
person:119,0,412,923,1020,532,1727,2419,686,1632,1118,634,2119,690,2321
person:377,412,0,518,616,943,2136,2829,1098,1997,707,225,2515,990,2726
person:566,923,518,0,99,1456,2650,3343,1601,2421,208,292,2978,1388,3205
person:587,1020,616,99,0,1552,2747,3438,1696,2499,143,391,3062,1465,3293
person:641,532,943,1456,1552,0,1194,1887,186,1254,1650,1167,1649,633,1823
person:648,1727,2136,2650,2747,1194,0,693,1061,1112,2843,2361,925,1524,895
person:652,2419,2829,3343,3438,1887,693,0,1748,1502,3536,3054,1001,2165,760
backpack:658,686,1098,1601,1696,186,1061,1748,0,1073,1800,1317,1465,588,1645
bird:672,1632,1997,2421,2499,1254,1112,1502,1073,0,2630,2180,648,1033,947
person:673,1118,707,208,143,1650,2843,3536,1800,2630,0,483,3186,1597,3411
person:675,634,225,292,391,1167,2361,3054,1317,2180,483,0,2717,1156,2935
bird:679,2119,2515,2978,3062,1649,925,1001,1465,648,3186,2717,0,1614,309
bird:684,690,990,1388,1465,633,1524,2165,588,1033,1597,1156,1614,0,1869
bird:689,2321,2726,3205,3293,1823,895,760,1645,947,3411,2935,309,1869,0
