,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675
person:119,0,406,928,1022,457,1724,2422,615,1806,1116,642
person:377,406,0,529,624,861,2127,2826,1021,2175,713,239
person:566,928,529,0,95,1385,2653,3351,1536,2618,191,289
person:587,1022,624,95,0,1479,2746,3444,1627,2695,111,384
person:641,457,861,1385,1479,0,1267,1965,196,1461,1573,1099
person:648,1724,2127,2653,2746,1267,0,698,1130,1085,2840,2365
person:652,2422,2826,3351,3444,1965,698,0,1824,1406,3539,3064
backpack:658,615,1021,1536,1627,196,1130,1824,0,1265,1726,1254
bird:672,1806,2175,2618,2695,1461,1085,1406,1265,0,2805,2374
person:673,1116,713,191,111,1573,2840,3539,1726,2805,0,474
person:675,642,239,289,384,1099,2365,3064,1254,2374,474,0
