,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:693,bird:679
person:119,0,406,931,1024,406,1701,2429,547,2016,1119,654,2618,2491
person:377,406,0,532,628,809,2104,2832,953,2391,718,251,3019,2885
person:566,931,532,0,97,1338,2633,3360,1472,2843,189,280,3514,3367
person:587,1024,628,97,0,1431,2726,3453,1562,2918,108,377,3598,3447
person:641,406,809,1338,1431,0,1295,2022,181,1698,1526,1059,2242,2130
person:648,1701,2104,2633,2726,1295,0,727,1171,1098,2821,2355,1145,1150
person:652,2429,2832,3360,3453,2022,727,0,1895,1306,3548,3082,819,980
backpack:658,547,953,1472,1562,181,1171,1895,0,1516,1661,1198,2075,1957
bird:672,2016,2391,2843,2918,1698,1098,1306,1516,0,3026,2604,832,605
person:673,1119,718,189,108,1526,2821,3548,1661,3026,0,466,3703,3554
person:675,654,251,280,377,1059,2355,3082,1198,2604,466,0,3254,3113
bird:693,2618,3019,3514,3598,2242,1145,819,2075,832,3703,3254,0,247
bird:679,2491,2885,3367,3447,2130,1150,980,1957,605,3554,3113,247,0
