,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:695,bird:702,person:703
person:119,0,398,919,1013,312,1701,2469,367,2611,1119,645,1580,2316,462
person:377,398,0,530,625,703,2095,2863,765,2992,721,252,1926,2712,852
person:566,919,530,0,95,1230,2621,3389,1279,3452,233,278,2341,3208,1380
person:587,1013,625,95,0,1324,2714,3482,1371,3531,184,373,2414,3295,1474
person:641,312,703,1230,1324,0,1392,2159,132,2361,1424,954,1397,2033,150
person:648,1701,2095,2621,2714,1392,0,767,1348,1367,2815,2346,1205,845,1243
person:652,2469,2863,3389,3482,2159,767,0,2114,1229,3583,3114,1690,708,2010
backpack:658,367,765,1279,1371,132,1348,2114,0,2257,1484,1009,1271,1949,176
bird:672,2611,2992,3452,3531,2361,1367,1229,2257,0,3678,3210,1157,563,2246
person:673,1119,721,233,184,1424,2815,3583,1484,3678,0,476,2572,3424,1572
person:675,645,252,278,373,954,2346,3114,1009,3210,476,0,2120,2948,1104
bird:695,1580,1926,2341,2414,1397,1205,1690,1271,1157,2572,2120,0,1134,1328
bird:702,2316,2712,3208,3295,2033,845,708,1949,563,3424,2948,1134,0,1901
person:703,462,852,1380,1474,150,1243,2010,176,2246,1572,1104,1328,1901,0
