,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:695,bird:702,person:703,bird:684
person:119,0,391,914,1007,291,1716,2479,354,2716,1114,640,1623,2397,452,634
person:377,391,0,532,626,676,2103,2865,744,3090,723,255,1963,2786,835,973
person:566,914,532,0,94,1204,2630,3393,1259,3551,232,277,2379,3286,1364,1422
person:587,1007,626,94,0,1297,2723,3486,1350,3632,179,371,2454,3373,1458,1505
person:641,291,676,1204,1297,0,1427,2189,139,2479,1399,929,1449,2130,161,519
person:648,1716,2103,2630,2723,1427,0,762,1378,1435,2825,2356,1215,881,1267,1369
person:652,2479,2865,3393,3486,2189,762,0,2139,1256,3587,3119,1687,674,2029,2101
backpack:658,354,744,1259,1350,139,1378,2139,0,2369,1465,990,1316,2042,182,381
bird:672,2716,3090,3551,3632,2479,1435,1256,2369,0,3778,3311,1221,611,2353,2130
person:673,1114,723,232,179,1399,2825,3587,1465,3778,0,475,2610,3501,1558,1648
person:675,640,255,277,371,929,2356,3119,990,3311,475,0,2158,3026,1089,1182
bird:695,1623,1963,2379,2454,1449,1215,1687,1316,1221,2610,2158,0,1195,1369,992
bird:702,2397,2786,3286,3373,2130,881,674,2042,611,3501,3026,1195,0,1985,1886
person:703,452,835,1364,1458,161,1267,2029,182,2353,1558,1089,1369,1985,0,517
bird:684,634,973,1422,1505,519,1369,2101,381,2130,1648,1182,992,1886,517,0
