,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,bird:45,handbag:84,bird:86,bird:87
person:1,0,857,2659,1962,1320,2287,3117,3159,3403,904,1401,1684,871
person:2,857,0,1807,1117,465,1437,2264,2383,2555,1349,563,1179,673
person:3,2659,1807,0,703,1342,374,457,975,750,2883,1261,1631,2080
person:4,1962,1117,703,0,657,328,1158,1348,1441,2199,561,1090,1391
person:5,1320,465,1342,657,0,973,1799,1962,2090,1697,149,1053,914
person:9,2287,1437,374,328,973,0,830,1139,1117,2518,887,1327,1712
person:66,3117,2264,457,1158,1799,830,0,910,308,3321,1718,2015,2523
bird:71,3159,2383,975,1348,1962,1139,910,0,873,3105,1831,1666,2390
person:73,3403,2555,750,1441,2090,1117,308,873,0,3568,2002,2219,2780
bird:45,904,1349,2883,2199,1697,2518,3321,3105,3568,0,1699,1444,808
handbag:84,1401,563,1261,561,149,887,1718,1831,2002,1699,0,927,897
bird:86,1684,1179,1631,1090,1053,1327,2015,1666,2219,1444,927,0,819
bird:87,871,673,2080,1391,914,1712,2523,2390,2780,808,897,819,0
