,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,bird:702,person:703,bird:684,bird:704
person:119,0,377,900,995,235,1737,2500,327,1095,620,1721,2575,443,679,2274
person:377,377,0,532,629,608,2110,2873,700,718,249,2048,2951,814,1012,2651
person:566,900,532,0,97,1136,2638,3400,1209,228,283,2459,3452,1343,1464,3163
person:587,995,629,97,0,1231,2732,3495,1302,180,380,2532,3541,1438,1547,3254
person:641,235,608,1136,1231,0,1502,2265,157,1327,854,1570,2353,207,553,2047
person:648,1737,2110,2638,2732,1502,0,762,1437,2829,2357,1237,988,1296,1332,636
person:652,2500,2873,3400,3495,2265,762,0,2199,3590,3119,1684,645,2059,2066,478
backpack:658,327,700,1209,1302,157,1437,2199,0,1413,935,1418,2250,213,395,1954
person:673,1095,718,228,180,1327,2829,3590,1413,0,478,2686,3662,1532,1685,3367
person:675,620,249,283,380,854,2357,3119,935,478,0,2234,3184,1061,1215,2890
bird:695,1721,2048,2459,2532,1570,1237,1684,1418,2686,2234,0,1320,1458,1042,1223
bird:702,2575,2951,3452,3541,2353,988,645,2250,3662,3184,1320,0,2163,2011,352
person:703,443,814,1343,1438,207,1296,2059,213,1532,1061,1458,2163,0,515,1850
bird:684,679,1012,1464,1547,553,1332,2066,395,1685,1215,1042,2011,515,0,1751
bird:704,2274,2651,3163,3254,2047,636,478,1954,3367,2890,1223,352,1850,1751,0
