,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703,bird:684,bird:704
person:119,0,366,892,985,207,1743,2511,319,1084,614,1776,434,713,2356
person:377,366,0,533,627,573,2108,2875,677,717,252,2088,797,1032,2723
person:566,892,533,0,94,1100,2635,3403,1185,227,281,2496,1326,1482,3233
person:587,985,627,94,0,1192,2727,3495,1274,178,375,2568,1419,1563,3321
person:641,207,573,1100,1192,0,1536,2303,163,1290,821,1630,226,583,2153
person:648,1743,2108,2635,2727,1536,0,767,1460,2825,2358,1245,1311,1314,708
person:652,2511,2875,3403,3495,2303,767,0,2227,3592,3125,1681,2078,2052,475
backpack:658,319,677,1185,1274,163,1460,2227,0,1387,914,1472,221,420,2049
person:673,1084,717,227,178,1290,2825,3592,1387,0,473,2722,1514,1702,3437
person:675,614,252,281,375,821,2358,3125,914,473,0,2276,1047,1238,2964
bird:695,1776,2088,2496,2568,1630,1245,1681,1472,2722,2276,0,1506,1063,1248
person:703,434,797,1326,1419,226,1311,2078,221,1514,1047,1506,0,526,1939
bird:684,713,1032,1482,1563,583,1314,2052,420,1702,1238,1063,526,0,1799
bird:704,2356,2723,3233,3321,2153,708,475,2049,3437,2964,1248,1939,1799,0
