,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703
person:119,0,380,896,985,132,1736,2509,263,1089,618,1824,412
person:377,380,0,533,621,499,2108,2880,642,712,248,2171,777
person:566,896,533,0,89,1023,2632,3405,1142,227,284,2574,1304
person:587,985,621,89,0,1112,2721,3494,1230,167,373,2652,1393
person:641,132,499,1023,1112,0,1609,2382,185,1212,743,1756,281
person:648,1736,2108,2632,2721,1609,0,773,1499,2820,2352,1238,1331
person:652,2509,2880,3405,3494,2382,773,0,2271,3593,3125,1637,2103
backpack:658,263,642,1142,1230,185,1499,2271,0,1344,871,1572,242
person:673,1089,712,227,167,1212,2820,3593,1344,0,472,2800,1489
person:675,618,248,284,373,743,2352,3125,871,472,0,2354,1022
bird:695,1824,2171,2574,2652,1756,1238,1637,1572,2800,2354,0,1591
person:703,412,777,1304,1393,281,1331,2103,242,1489,1022,1591,0
