,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703
person:377,0,534,617,483,2106,2884,628,710,251,2216,775
person:566,534,0,84,1008,2631,3409,1128,227,283,2621,1303
person:587,617,84,0,1092,2715,3493,1212,167,366,2696,1388
person:641,483,1008,1092,0,1624,2402,187,1193,729,1810,295
person:648,2106,2631,2715,1624,0,778,1512,2816,2353,1230,1331
person:652,2884,3409,3493,2402,778,0,2287,3595,3132,1585,2109
backpack:658,628,1128,1212,187,1512,2287,0,1328,860,1625,252
person:673,710,227,167,1193,2816,3595,1328,0,467,2846,1485
person:675,251,283,366,729,2353,3132,860,467,0,2405,1023
bird:695,2216,2621,2696,1810,1230,1585,1625,2846,2405,0,1630
person:703,775,1303,1388,295,1331,2109,252,1485,1023,1630,0
