,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703,bird:707,bird:708
person:377,0,529,610,477,2104,2889,586,704,249,2265,776,2038,1028
person:566,529,0,82,998,2624,3410,1082,187,280,2667,1300,2487,1337
person:587,610,82,0,1080,2707,3492,1165,109,361,2741,1383,2566,1406
person:641,477,998,1080,0,1628,2413,163,1178,722,1867,302,1601,814
person:648,2104,2624,2707,1628,0,785,1549,2806,2350,1247,1328,857,1709
person:652,2889,3410,3492,2413,785,0,2334,3591,3135,1609,2112,1339,2439
backpack:658,586,1082,1165,163,1549,2334,0,1268,818,1712,282,1459,666
person:673,704,187,109,1178,2806,3591,1268,0,456,2851,1479,2674,1515
person:675,249,280,361,722,2350,3135,818,456,0,2454,1023,2250,1161
bird:695,2265,2667,2741,1867,1247,1609,1712,2851,2454,0,1684,409,1353
person:703,776,1300,1383,302,1328,2112,282,1479,1023,1684,0,1378,867
bird:707,2038,2487,2566,1601,857,1339,1459,2674,2250,409,1378,0,1255
bird:708,1028,1337,1406,814,1709,2439,666,1515,1161,1353,867,1255,0
