,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,kite:45,handbag:84,bird:86
person:1,0,857,2656,1954,1321,2282,3111,3161,3403,832,1412,1649
person:2,857,0,1803,1109,465,1432,2258,2386,2554,1345,573,1159
person:3,2656,1803,0,707,1338,375,455,990,754,2928,1247,1665
person:4,1954,1109,707,0,649,332,1161,1361,1448,2233,542,1110
person:5,1321,465,1338,649,0,967,1793,1967,2089,1717,158,1052
person:9,2282,1432,375,332,967,0,830,1153,1121,2559,872,1356
person:66,3111,2258,455,1161,1793,830,0,925,314,3368,1702,2049
bird:71,3161,2386,990,1361,1967,1153,925,0,881,3181,1824,1708
person:73,3403,2554,754,1448,2089,1121,314,881,0,3623,1990,2256
kite:45,832,1345,2928,2233,1717,2559,3368,3181,3623,0,1736,1483
handbag:84,1412,573,1247,542,158,872,1702,1824,1990,1736,0,927
bird:86,1649,1159,1665,1110,1052,1356,2049,1708,2256,1483,927,0
