,person:377,person:566,person:587,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:707,bird:708,kite:712,bird:713
person:377,0,537,611,375,2091,2884,465,700,238,2516,729,2430,1147,743,2138
person:566,537,0,74,906,2619,3413,986,169,299,2935,1263,2901,1487,453,2622
person:587,611,74,0,981,2693,3486,1059,101,373,2997,1337,2969,1543,451,2692
person:641,375,906,981,0,1715,2508,104,1072,612,2195,356,2077,933,1024,1778
person:648,2091,2619,2693,1715,0,793,1633,2787,2328,1296,1362,859,1595,2641,625
person:652,2884,3413,3486,2508,793,0,2426,3580,3121,1508,2154,1054,2311,3425,1062
person:658,465,986,1059,104,1633,2426,0,1154,697,2091,288,1976,844,1066,1678
person:673,700,169,101,1072,2787,3580,1154,0,461,3098,1428,3070,1644,515,2792
person:675,238,299,373,612,2328,3121,697,461,0,2707,967,2644,1294,585,2357
bird:695,2516,2935,2997,2195,1296,1508,2091,3098,2707,0,1946,473,1469,2748,679
person:703,729,1263,1337,356,1362,2154,288,1428,967,1946,0,1777,894,1353,1468
bird:707,2430,2901,2969,2077,859,1054,1976,3070,2644,473,1777,0,1529,2786,319
bird:708,1147,1487,1543,933,1595,2311,844,1644,1294,1469,894,1529,0,1280,1315
kite:712,743,453,451,1024,2641,3425,1066,515,585,2748,1353,2786,1280,0,2536
bird:713,2138,2622,2692,1778,625,1062,1678,2792,2357,679,1468,319,1315,2536,0
