,person:377,person:566,person:587,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:707,bird:708,kite:712,bird:713,bird:714,bird:715,bird:716
person:377,0,540,617,356,2088,2880,442,702,239,2539,715,2518,1183,739,2198,1458,857,1350
person:566,540,0,76,890,2619,3412,971,166,302,2956,1251,2993,1527,463,2685,1933,1242,1774
person:587,617,76,0,967,2696,3488,1047,93,378,3021,1327,3064,1588,469,2758,2005,1309,1842
person:641,356,890,967,0,1731,2524,89,1055,594,2233,360,2180,967,995,1854,1127,636,1059
person:648,2088,2619,2696,1731,0,792,1649,2785,2325,1319,1373,889,1565,2619,627,902,1589,1206
person:652,2880,3412,3488,2524,792,0,2441,3578,3118,1514,2166,1000,2273,3401,1009,1619,2348,1904
person:658,442,971,1047,89,1649,2441,0,1136,677,2146,284,2090,903,1049,1764,1038,577,977
person:673,702,166,93,1055,2785,3578,1136,0,462,3113,1415,3157,1679,524,2851,2098,1401,1935
person:675,239,302,378,594,2325,3118,677,462,0,2729,953,2733,1333,587,2418,1671,1022,1540
bird:695,2539,2956,3021,2233,1319,1514,2146,3113,2729,0,1980,516,1446,2742,692,1130,1714,1189
person:703,715,1251,1327,360,1373,2166,284,1415,953,1980,0,1872,907,1325,1537,851,630,868
bird:707,2518,2993,3064,2180,889,1000,2090,3157,2733,516,1872,0,1581,2854,342,1061,1775,1245
bird:708,1183,1527,1588,967,1565,2273,903,1679,1333,1446,907,1581,0,1297,1338,664,333,368
kite:712,739,463,469,995,2619,3401,1049,524,587,2742,1325,2854,1297,0,2575,1827,1083,1609
bird:713,2198,2685,2758,1854,627,1009,1764,2851,2418,692,1537,342,1338,2575,0,754,1491,980
bird:714,1458,1933,2005,1127,902,1619,1038,2098,1671,1130,851,1061,664,1827,754,0,745,304
bird:715,857,1242,1309,636,1589,2348,577,1401,1022,1714,630,1775,333,1083,1491,745,0,535
bird:716,1350,1774,1842,1059,1206,1904,977,1935,1540,1189,868,1245,368,1609,980,304,535,0
