,person:377,person:566,person:587,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:707,bird:708,kite:712,bird:715,bird:716,bird:717
person:377,0,536,616,350,2090,2881,433,699,237,2556,710,2603,1214,720,879,1403,1346
person:566,536,0,80,879,2617,3408,958,168,300,2968,1241,3071,1559,469,1270,1826,1237
person:587,616,80,0,959,2696,3488,1039,92,380,3035,1322,3145,1621,476,1338,1895,1242
person:641,350,879,959,0,1740,2531,84,1045,585,2253,362,2269,991,961,644,1109,1437
person:648,2090,2617,2696,1740,0,791,1659,2784,2326,1326,1380,944,1539,2589,1551,1167,2692
person:652,2881,3408,3488,2531,791,0,2450,3575,3117,1508,2171,987,2240,3368,2307,1854,3410
person:658,433,958,1039,84,1659,2450,0,1125,667,2174,285,2185,934,1017,590,1034,1454
person:673,699,168,92,1045,2784,3575,1125,0,462,3127,1407,3237,1712,538,1431,1988,1295
person:675,237,300,380,585,2326,3117,667,462,0,2745,946,2816,1366,578,1049,1593,1290
bird:695,2556,2968,3035,2253,1326,1508,2174,3127,2745,0,1999,522,1425,2726,1700,1153,2442
person:703,710,1241,1322,362,1380,2171,285,1407,946,1999,0,1960,917,1291,613,905,1656
bird:707,2603,3071,3145,2269,944,987,2185,3237,2816,522,1960,0,1621,2902,1820,1268,2744
bird:708,1214,1559,1621,991,1539,2240,934,1712,1366,1425,917,1621,0,1303,346,386,1170
kite:712,720,469,476,961,2589,3368,1017,538,578,2726,1291,2902,1303,0,1089,1633,768
bird:715,879,1270,1338,644,1551,2307,590,1431,1049,1700,613,1820,346,1089,0,557,1169
bird:716,1403,1826,1895,1109,1167,1854,1034,1988,1593,1153,905,1268,386,1633,557,0,1556
bird:717,1346,1237,1242,1437,2692,3410,1454,1295,1290,2442,1656,2744,1170,768,1169,1556,0
