,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:707,bird:708,kite:712,bird:717,bird:718,bird:719,bird:720,bird:715
person:377,0,529,286,2095,2872,442,691,238,2741,693,2941,1299,649,1368,2547,2011,1818,946
person:566,529,0,808,2616,3393,962,164,291,3161,1218,3407,1655,516,1286,3049,2495,2267,1365
person:641,286,808,0,1809,2586,156,972,522,2485,410,2665,1097,807,1419,2261,1732,1553,716
person:648,2095,2616,1809,0,776,1654,2781,2332,1380,1403,1187,1485,2467,2671,572,566,882,1431
person:652,2872,3393,2586,776,0,2431,3557,3109,1444,2179,989,2156,3229,3369,533,1087,1446,2172
person:658,442,962,156,1654,2431,0,1126,677,2347,260,2515,1002,919,1468,2106,1579,1411,609
person:673,691,164,972,2781,3557,1126,0,452,3314,1382,3567,1801,605,1337,3214,2657,2426,1522
person:675,238,291,522,2332,3109,677,452,0,2936,931,3155,1458,545,1320,2777,2233,2024,1133
bird:695,2741,3161,2485,1380,1444,2347,3314,2936,0,2187,540,1526,2800,2596,970,922,941,1802
person:703,693,1218,410,1403,2179,260,1382,931,2187,0,2313,975,1166,1652,1873,1372,1245,586
bird:707,2941,3407,2665,1187,989,2515,3567,3155,540,2313,0,1852,3105,3008,640,941,1144,2047
bird:708,1299,1655,1097,1485,2156,1002,1801,1458,1526,975,1852,0,1274,1214,1678,1078,742,397
kite:712,649,516,807,2467,3229,919,605,545,2800,1166,3105,1274,0,784,2828,2241,1964,1077
bird:717,1368,1286,1419,2671,3369,1468,1337,1320,2596,1652,3008,1214,784,0,2892,2293,1950,1269
bird:718,2547,3049,2261,572,533,2106,3214,2777,970,1873,640,1678,2828,2892,0,601,944,1752
bird:719,2011,2495,1732,566,1087,1579,2657,2233,922,1372,941,1078,2241,2293,601,0,360,1164
bird:720,1818,2267,1553,882,1446,1411,2426,2024,941,1245,1144,742,1964,1950,944,360,0,904
bird:715,946,1365,716,1431,2172,609,1522,1133,1802,586,2047,397,1077,1269,1752,1164,904,0
