,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:707,bird:708,kite:712,bird:717,bird:718,bird:720,bird:715
person:377,0,534,263,2090,2869,445,693,237,2788,685,3041,1339,637,1380,2586,1869,970
person:566,534,0,789,2616,3394,969,161,296,3212,1215,3513,1699,529,1300,3093,2324,1396
person:641,263,789,0,1828,2607,181,951,497,2550,426,2785,1145,769,1419,2323,1623,750
person:648,2090,2616,1828,0,778,1647,2777,2326,1399,1407,1248,1458,2434,2665,603,851,1397
person:652,2869,3394,2607,778,0,2426,3556,3105,1433,2185,974,2122,3198,3361,499,1393,2138
person:658,445,969,181,1647,2426,0,1131,679,2391,250,2611,1035,899,1479,2143,1458,624
person:673,693,161,951,2777,3556,1131,0,455,3361,1376,3670,1842,620,1347,3254,2480,1550
person:675,237,296,497,2326,3105,679,455,0,2980,922,3255,1496,541,1332,2815,2074,1157
bird:695,2788,3212,2550,1399,1433,2391,3361,2980,0,2238,595,1532,2821,2633,983,940,1823
person:703,685,1215,426,1407,2185,250,1376,922,2238,0,2417,1005,1137,1657,1920,1298,593
bird:707,3041,3513,2785,1248,974,2611,3670,3255,595,2417,0,1919,3182,3108,668,1193,2122
bird:708,1339,1699,1145,1458,2122,1035,1842,1496,1532,1005,1919,0,1289,1242,1684,761,416
kite:712,637,529,769,2434,3198,899,620,541,2821,1137,3182,1289,0,795,2839,1991,1078
bird:717,1380,1300,1419,2665,3361,1479,1347,1332,2633,1657,3108,1242,795,0,2927,1999,1295
bird:718,2586,3093,2323,603,499,2143,3254,2815,983,1920,668,1684,2839,2927,0,931,1762
bird:720,1869,2324,1623,851,1393,1458,2480,2074,940,1298,1193,761,1991,1999,931,0,930
bird:715,970,1396,750,1397,2138,624,1550,1157,1823,593,2122,416,1078,1295,1762,930,0
