,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:708,bird:720,handbag:723
person:377,0,526,234,2093,2874,462,689,237,2874,676,1391,1969,2904
person:566,526,0,750,2608,3389,977,166,289,3288,1197,1743,2414,3420
person:641,234,750,0,1861,2641,229,915,467,2657,447,1208,1745,2672
person:648,2093,2608,1861,0,780,1632,2774,2328,1424,1418,1420,821,811
person:652,2874,3389,2641,780,0,2412,3555,3109,1406,2198,2076,1319,37
person:658,462,977,229,1632,2412,0,1143,696,2458,224,1066,1538,2443
person:673,689,166,915,2774,3555,1143,0,451,3443,1363,1892,2575,3586
person:675,237,289,467,2328,3109,696,451,0,3067,913,1550,2174,3140
bird:695,2874,3288,2657,1424,1406,2458,3443,3067,0,2319,1564,928,1434
person:703,676,1197,447,1418,2198,224,1363,913,2319,0,1031,1391,2228
bird:708,1391,1743,1208,1420,2076,1066,1892,1550,1564,1031,0,802,2113
bird:720,1969,2414,1745,821,1319,1538,2575,2174,928,1391,802,0,1356
handbag:723,2904,3420,2672,811,37,2443,3586,3140,1434,2228,2113,1356,0
