,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:708,bird:720,handbag:723,bird:727
person:377,0,519,241,2094,2875,470,684,232,2932,675,1426,2053,2894,2682
person:566,519,0,751,2603,3385,979,167,288,3348,1190,1782,2491,3404,3141
person:641,241,751,0,1855,2636,229,918,469,2706,439,1233,1822,2655,2445
person:648,2094,2603,1855,0,781,1625,2771,2324,1427,1420,1386,835,800,936
person:652,2875,3385,2636,781,0,2407,3552,3106,1361,2201,2034,1282,34,881
person:658,470,979,229,1625,2407,0,1146,699,2505,215,1087,1615,2425,2227
person:673,684,167,918,2771,3552,1146,0,451,3504,1357,1931,2652,3571,3303
person:675,232,288,469,2324,3106,699,451,0,3124,907,1586,2253,3125,2892
bird:695,2932,3348,2706,1427,1361,2505,3504,3124,0,2369,1588,894,1394,518
person:703,675,1190,439,1420,2201,215,1357,907,2369,0,1049,1475,2219,2062
bird:708,1426,1782,1233,1386,2034,1087,1931,1586,1588,1049,0,822,2064,1486
bird:720,2053,2491,1822,835,1282,1615,2652,2253,894,1475,822,0,1315,668
handbag:723,2894,3404,2655,800,34,2425,3571,3125,1394,2219,2064,1315,0,915
bird:727,2682,3141,2445,936,881,2227,3303,2892,518,2062,1486,668,915,0
