,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:708,bird:720,handbag:723,bird:727,bird:729,bird:730,bird:731
person:377,0,517,244,2095,2877,473,683,231,2950,675,1440,2082,2891,2690,1447,1716,1112
person:566,517,0,751,2603,3384,980,168,287,3366,1188,1797,2519,3399,3147,1378,2133,1525
person:641,244,751,0,1853,2635,230,919,470,2720,437,1243,1848,2650,2450,1458,1491,896
person:648,2095,2603,1853,0,782,1623,2771,2324,1427,1421,1374,841,796,942,2651,1007,1290
person:652,2877,3384,2635,782,0,2405,3552,3106,1346,2203,2019,1269,35,882,3336,1597,2020
person:658,473,980,230,1623,2405,0,1148,701,2517,213,1095,1640,2420,2232,1528,1298,725
person:673,683,168,919,2771,3552,1148,0,452,3522,1355,1946,2679,3567,3310,1429,2291,1684
person:675,231,287,470,2324,3106,701,452,0,3141,905,1600,2281,3120,2899,1409,1906,1296
bird:695,2950,3366,2720,1427,1346,2517,3522,3141,0,2383,1591,879,1380,506,2769,1235,1844
person:703,675,1188,437,1421,2203,213,1355,905,2383,0,1056,1503,2216,2070,1677,1190,674
bird:708,1440,1797,1243,1374,2019,1095,1946,1600,1591,1056,0,829,2046,1475,1321,433,381
bird:720,2082,2519,1848,841,1269,1640,2679,2281,879,1503,829,0,1301,649,2134,404,995
handbag:723,2891,3399,2650,796,35,2420,3567,3120,1380,2216,2046,1301,0,917,3363,1625,2043
bird:727,2690,3147,2450,942,882,2232,3310,2899,506,2070,1475,649,917,0,2763,1053,1633
bird:729,1447,1378,1458,2651,3336,1528,1429,1409,2769,1677,1321,2134,3363,2763,0,1752,1373
bird:730,1716,2133,1491,1007,1597,1298,2291,1906,1235,1190,433,404,1625,1053,1752,0,609
bird:731,1112,1525,896,1290,2020,725,1684,1296,1844,674,381,995,2043,1633,1373,609,0
