,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:708,bird:720,handbag:723,bird:727,bird:730,bird:731,backpack:119
person:377,0,496,254,2111,2893,490,663,210,3010,694,1484,2157,2907,2757,1759,1149,373
person:566,496,0,741,2597,3379,976,168,287,3413,1186,1830,2577,3394,3194,2163,1549,822
person:641,254,741,0,1859,2640,236,909,460,2772,444,1279,1915,2654,2508,1525,923,158
person:648,2111,2597,1859,0,781,1622,2766,2319,1430,1419,1344,841,796,983,971,1258,1781
person:652,2893,3379,2640,781,0,2404,3547,3101,1309,2200,1982,1229,35,882,1553,1986,2561
person:658,490,976,236,1622,2404,0,1144,696,2560,216,1119,1700,2418,2283,1322,740,198
person:673,663,168,909,2766,3547,1144,0,453,3569,1354,1978,2737,3562,3356,2320,1707,990
person:675,210,287,460,2319,3101,696,453,0,3186,903,1631,2339,3115,2946,1933,1318,559
bird:695,3010,3413,2772,1430,1309,2560,3569,3186,0,2424,1608,861,1343,466,1252,1867,2637
person:703,694,1186,444,1419,2200,216,1354,903,2424,0,1078,1562,2214,2122,1212,685,408
bird:708,1484,1830,1279,1344,1982,1119,1978,1631,1608,1078,0,848,2009,1480,437,393,1124
bird:720,2157,2577,1915,841,1229,1700,2737,2339,861,1562,848,0,1261,635,426,1029,1784
handbag:723,2907,3394,2654,796,35,2418,3562,3115,1343,2214,2009,1261,0,917,1582,2009,2577
bird:727,2757,3194,2508,983,882,2283,3356,2946,466,2122,1480,635,917,0,1061,1653,2387
bird:730,1759,2163,1525,971,1553,1322,2320,1933,1252,1212,437,426,1582,1061,0,614,1386
bird:731,1149,1549,923,1258,1986,740,1707,1318,1867,685,393,1029,2009,1653,614,0,777
backpack:119,373,822,158,1781,2561,198,990,559,2637,408,1124,1784,2577,2387,1386,777,0
