,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:708,bird:720,handbag:723,bird:727,backpack:119,bird:733,bird:734,bird:736,bird:737,bird:730
person:377,0,468,237,2129,2918,511,640,181,3167,715,1562,2323,2936,2925,372,1232,1694,1217,1501,1854
person:566,468,0,698,2588,3377,970,172,286,3556,1180,1900,2729,3396,3342,798,1629,2067,1545,1894,2250
person:641,237,698,0,1892,2681,274,869,414,2943,481,1366,2094,2700,2693,168,1012,1481,1034,1280,1631
person:648,2129,2588,1892,0,788,1619,2757,2307,1498,1415,1293,814,808,1086,1796,1141,1065,1447,1002,865
person:652,2918,3377,2681,788,0,2408,3545,3096,1294,2204,1923,1104,34,870,2584,1878,1674,2152,1688,1436
person:658,511,970,274,1619,2408,0,1140,688,2692,217,1167,1838,2427,2429,208,777,1252,864,1040,1384
person:673,640,172,869,2757,3545,1140,0,459,3700,1351,2033,2879,3565,3495,963,1781,2209,1678,2043,2399
person:675,181,286,414,2307,3096,688,459,0,3316,895,1686,2478,3115,3085,529,1381,1834,1335,1649,2004
bird:695,3167,3556,2943,1498,1294,2692,3700,3316,0,2553,1684,860,1324,443,2794,1935,1490,2032,1667,1312
person:703,715,1180,481,1415,2204,217,1351,895,2553,0,1119,1693,2222,2268,423,693,1162,863,937,1261
bird:708,1562,1900,1366,1293,1923,1167,2033,1686,1684,1119,0,940,1954,1555,1200,439,250,355,323,491
bird:720,2323,2729,2094,814,1104,1838,2879,2478,860,1693,940,0,1139,622,1951,1099,704,1255,836,483
handbag:723,2936,3396,2700,808,34,2427,3565,3115,1324,2222,1954,1139,0,902,2604,1904,1705,2180,1717,1467
bird:727,2925,3342,2693,1086,870,2429,3495,3085,443,2268,1555,622,902,0,2556,1714,1325,1877,1455,1105
backpack:119,372,798,168,1796,2584,208,963,529,2794,423,1200,1951,2604,2556,0,859,1323,866,1128,1481
bird:733,1232,1629,1012,1141,1878,777,1781,1381,1935,693,439,1099,1904,1714,859,0,475,335,268,623
bird:734,1694,2067,1481,1065,1674,1252,2209,1834,1490,1162,250,704,1705,1325,1323,475,0,552,229,241
bird:736,1217,1545,1034,1447,2152,864,1678,1335,2032,863,355,1255,2180,1877,866,335,552,0,463,776
bird:737,1501,1894,1280,1002,1688,1040,2043,1649,1667,937,323,836,1717,1455,1128,268,229,463,0,356
bird:730,1854,2250,1631,865,1436,1384,2399,2004,1312,1261,491,483,1467,1105,1481,623,241,776,356,0
