,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:708,bird:720,handbag:723,bird:727,backpack:119,bird:733,bird:736,bird:716
person:377,0,470,207,2119,2910,505,635,180,3239,709,1596,2375,2933,2995,345,1267,1237,1721
person:566,470,0,673,2583,3374,968,171,290,3639,1178,1951,2793,3398,3421,780,1677,1580,2110
person:641,207,673,0,1912,2703,297,840,384,3044,504,1425,2176,2727,2793,167,1075,1077,1535
person:648,2119,2583,1912,0,791,1615,2752,2296,1551,1411,1256,808,815,1146,1809,1094,1417,1019
person:652,2910,3374,2703,791,0,2406,3543,3088,1301,2202,1876,1046,35,871,2599,1830,2119,1619
person:658,505,968,297,1615,2406,0,1137,681,2769,218,1200,1894,2430,2505,217,813,882,1279
person:673,635,171,840,2752,3543,1137,0,456,3808,1344,2116,2964,3567,3592,952,1848,1744,2278
person:675,180,290,384,2296,3088,681,456,0,3389,889,1725,2532,3111,3156,504,1419,1359,1865
bird:695,3239,3639,3044,1551,1301,2769,3808,3389,0,2628,1715,884,1327,441,2893,1971,2081,1530
person:703,709,1178,504,1411,2202,218,1344,889,2628,0,1145,1746,2225,2344,434,721,875,1182
bird:708,1596,1951,1425,1256,1876,1200,2116,1725,1715,1145,0,958,1909,1579,1260,442,371,256
bird:720,2375,2793,2176,808,1046,1894,2964,2532,884,1746,958,0,1082,633,2031,1116,1289,722
handbag:723,2933,3398,2727,815,35,2430,3567,3111,1327,2225,1909,1082,0,899,2623,1859,2150,1653
bird:727,2995,3421,2793,1146,871,2505,3592,3156,441,2344,1579,633,899,0,2653,1745,1920,1353
backpack:119,345,780,167,1809,2599,217,952,504,2893,434,1260,2031,2623,2653,0,922,910,1377
bird:733,1267,1677,1075,1094,1830,813,1848,1419,1971,721,442,1116,1859,1745,922,0,346,466
bird:736,1237,1580,1077,1417,2119,882,1744,1359,2081,875,371,1289,2150,1920,910,346,0,567
bird:716,1721,2110,1535,1019,1619,1279,2278,1865,1530,1182,256,722,1653,1353,1377,466,567,0
