,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:708,bird:720,handbag:723,kite:727,backpack:119,bird:733,bird:736,bird:739,bird:716
person:377,0,467,187,2114,2910,503,631,172,3298,711,1638,2431,2926,3063,322,1320,1253,1498,1748
person:566,467,0,652,2576,3372,965,177,294,3701,1177,1998,2847,3389,3489,757,1730,1600,1494,2140
person:641,187,652,0,1926,2723,316,818,358,3123,525,1484,2252,2739,2882,163,1148,1108,1502,1580
person:648,2114,2576,1926,0,796,1611,2745,2284,1578,1405,1216,838,812,1197,1824,1047,1387,2587,981
person:652,2910,3372,2723,796,0,2407,3541,3080,1292,2200,1831,1034,25,875,2619,1782,2094,3272,1581
person:658,503,965,316,1611,2407,0,1134,673,2829,221,1240,1954,2424,2576,233,867,896,1554,1306
person:673,631,177,818,2745,3541,1134,0,461,3878,1343,2173,3025,3558,3666,931,1908,1775,1601,2317
person:675,172,294,358,2284,3080,673,461,0,3445,883,1765,2582,3097,3219,476,1468,1373,1480,1889
bird:695,3298,3701,3123,1578,1292,2829,3878,3445,0,2683,1732,880,1309,422,2975,1978,2124,3043,1561
person:703,711,1177,525,1405,2200,221,1343,883,2683,0,1176,1803,2216,2410,453,766,881,1703,1201
bird:708,1638,1998,1484,1216,1831,1240,2173,1765,1732,1176,0,953,1855,1597,1323,431,398,1449,250
bird:720,2431,2847,2252,838,1034,1954,3025,2582,880,1803,953,0,1060,651,2109,1116,1315,2382,736
handbag:723,2926,3389,2739,812,25,2424,3558,3097,1309,2216,1855,1060,0,894,2636,1804,2116,3295,1605
kite:727,3063,3489,2882,1197,875,2576,3666,3219,422,2410,1597,651,894,0,2744,1761,1966,3000,1387
backpack:119,322,757,163,1824,2619,233,931,476,2975,453,1323,2109,2636,2744,0,997,945,1397,1426
bird:733,1320,1730,1148,1047,1782,867,1908,1468,1978,766,431,1116,1804,1761,997,0,351,1546,439
bird:736,1253,1600,1108,1387,2094,896,1775,1373,2124,881,398,1315,2116,1966,945,351,0,1200,579
bird:739,1498,1494,1502,2587,3272,1554,1601,1480,3043,1703,1449,2382,3295,3000,1397,1546,1200,0,1696
bird:716,1748,2140,1580,981,1581,1306,2317,1889,1561,1201,250,736,1605,1387,1426,439,579,1696,0
