,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,bird:708,bird:720,handbag:723,backpack:119,bird:733,bird:736,bird:716,bird:742
person:377,0,453,169,2114,2918,515,622,151,718,1711,2582,2924,286,1441,1285,1817,1630
person:566,453,0,622,2565,3368,966,173,302,1172,2078,2992,3374,714,1848,1645,2206,2026
person:641,169,622,0,1945,2748,346,792,320,549,1574,2424,2754,151,1287,1155,1669,1480
person:648,2114,2565,1945,0,803,1599,2736,2265,1399,1149,930,809,1856,958,1313,961,948
person:652,2918,3368,2748,803,0,2402,3540,3069,2202,1747,1001,11,2659,1679,2023,1537,1604
person:658,515,966,346,1599,2402,0,1137,666,215,1296,2096,2408,271,974,904,1366,1174
person:673,622,173,792,2736,3540,1137,0,471,1341,2246,3165,3546,887,2021,1813,2377,2198
person:675,151,302,320,2265,3069,666,471,0,870,1832,2719,3075,424,1576,1402,1946,1761
person:703,718,1172,549,1399,2202,215,1341,870,0,1224,1952,2208,487,867,878,1264,1071
bird:708,1711,2078,1574,1149,1747,1296,2246,1832,1224,0,992,1757,1429,392,433,209,233
bird:720,2582,2992,2424,930,1001,2096,3165,2719,1952,992,0,1013,2296,1144,1393,811,972
handbag:723,2924,3374,2754,809,11,2408,3546,3075,2208,1757,1013,0,2665,1688,2032,1547,1613
backpack:119,286,714,151,1856,2659,271,887,424,487,1429,2296,2665,0,1154,1007,1531,1343
bird:733,1441,1848,1287,958,1679,974,2021,1576,867,392,1144,1688,1154,0,355,396,203
bird:736,1285,1645,1155,1313,2023,904,1813,1402,878,433,1393,2032,1007,355,0,582,436
bird:716,1817,2206,1669,961,1537,1366,2377,1946,1264,209,811,1547,1531,396,582,0,193
bird:742,1630,2026,1480,948,1604,1174,2198,1761,1071,233,972,1613,1343,203,436,193,0
