,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,bird:720,handbag:723,backpack:119,bird:733,bird:736,bird:742,bird:745,bird:746,bird:747
person:377,0,439,173,2121,2928,526,609,138,730,2676,2932,273,1495,1312,1679,2142,972,2257
person:566,439,0,613,2560,3367,965,170,302,1170,3083,3371,695,1900,1676,2075,2544,1354,2677
person:641,173,613,0,1949,2756,354,783,311,556,2521,2760,147,1344,1187,1532,1990,841,2095
person:648,2121,2560,1949,0,806,1595,2728,2260,1396,972,810,1871,915,1282,906,802,1380,560
person:652,2928,3367,2756,806,0,2402,3535,3067,2203,963,13,2677,1630,1991,1553,1222,2150,921
person:658,526,965,354,1595,2402,0,1133,664,213,2184,2406,290,1021,924,1215,1662,582,1750
person:673,609,170,783,2728,3535,1133,0,472,1339,3237,3539,860,2054,1816,2225,2695,1503,2836
person:675,138,302,311,2260,3067,664,472,0,867,2809,3071,406,1626,1430,1808,2273,1095,2393
person:703,730,1170,556,1396,2203,213,1339,867,0,2036,2206,503,907,888,1104,1528,577,1588
bird:720,2676,3083,2521,972,963,2184,3237,2809,2036,0,977,2403,1183,1453,1013,543,1735,471
handbag:723,2932,3371,2760,810,13,2406,3539,3071,2206,977,0,2681,1638,2000,1563,1233,2157,932
backpack:119,273,695,147,1871,2677,290,860,406,503,2403,2681,0,1221,1046,1405,1868,703,1986
bird:733,1495,1900,1344,915,1630,1021,2054,1626,907,1183,1638,1221,0,368,197,646,558,797
bird:736,1312,1676,1187,1282,1991,924,1816,1430,888,1453,2000,1046,368,0,456,912,347,1124
bird:742,1679,2075,1532,906,1553,1215,2225,1808,1104,1013,1563,1405,197,456,0,470,722,669
bird:745,2142,2544,1990,802,1222,1662,2695,2273,1528,543,1233,1868,646,912,470,0,1192,307
bird:746,972,1354,841,1380,2150,582,1503,1095,577,1735,2157,703,558,347,722,1192,0,1354
bird:747,2257,2677,2095,560,921,1750,2836,2393,1588,471,932,1986,797,1124,669,307,1354,0
