,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:747,bird:749,bird:708,bird:720,bird:753,bird:756,bird:757
person:566,0,501,2524,3355,961,147,282,1142,3349,568,2208,2823,3700,2396,3536,1315,2791,1890
person:641,501,0,2026,2857,463,648,220,641,2851,140,1744,2351,3280,1967,3078,969,2308,1478
person:648,2524,2026,0,831,1563,2672,2247,1389,824,1962,659,638,1783,960,1322,1575,460,1122
person:652,3355,2857,831,0,2394,3503,3078,2220,9,2792,1319,827,1565,1445,979,2343,700,1805
person:658,961,463,1563,2394,0,1109,683,189,2388,410,1308,1903,2876,1566,2639,743,1850,1111
person:673,147,648,2672,3503,1109,0,429,1289,3496,713,2349,2965,3829,2529,3675,1436,2936,2021
person:675,282,220,2247,3078,683,429,0,861,3071,310,1953,2563,3473,2162,3285,1121,2524,1665
person:703,1142,641,1389,2220,189,1289,861,0,2213,599,1186,1762,2772,1474,2506,796,1697,1054
handbag:723,3349,2851,824,9,2388,3496,3071,2213,0,2786,1316,827,1572,1445,986,2339,698,1802
backpack:119,568,140,1962,2792,410,713,310,599,2786,0,1644,2257,3163,1851,2976,832,2223,1356
bird:733,2208,1744,659,1319,1308,2349,1953,1186,1316,1644,0,621,1594,379,1333,1041,638,488
bird:747,2823,2351,638,827,1903,2965,2563,1762,827,2257,621,0,1149,628,750,1650,199,1056
bird:749,3700,3280,1783,1565,2876,3829,3473,2772,1572,3163,1594,1149,0,1313,588,2399,1324,1809
bird:708,2396,1967,960,1445,1566,2529,2162,1474,1445,1851,379,628,1313,0,1179,1123,752,511
bird:720,3536,3078,1322,979,2639,3675,3285,2506,986,2976,1333,750,588,1179,0,2299,872,1686
bird:753,1315,969,1575,2343,743,1436,1121,796,2339,832,1041,1650,2399,1123,2299,0,1678,613
bird:756,2791,2308,460,700,1850,2936,2524,1697,698,2223,638,199,1324,752,872,1678,0,1113
bird:757,1890,1478,1122,1805,1111,2021,1665,1054,1802,1356,488,1056,1809,511,1686,613,1113,0
