,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:749,bird:708,bird:753,bird:757,bird:745,bird:736
person:566,0,467,2500,3356,957,140,285,1140,3333,525,2396,3642,2550,1396,2017,3171,1802
person:641,467,0,2040,2897,494,602,186,674,2874,147,1973,3274,2159,1076,1641,2761,1429
person:648,2500,2040,0,856,1545,2638,2226,1370,834,1978,588,1796,925,1469,1020,1083,1100
person:652,3356,2897,856,0,2402,3495,3083,2226,22,2834,1155,1597,1316,2248,1680,969,1827
person:658,957,494,1545,2402,0,1094,680,189,2380,447,1506,2852,1724,796,1235,2300,1036
person:673,140,602,2638,3495,1094,0,417,1277,3472,666,2535,3776,2687,1527,2153,3310,1938
person:675,285,186,2226,3083,680,417,0,860,3060,282,2151,3435,2327,1213,1802,2935,1588
person:703,1140,674,1370,2226,189,1277,860,0,2204,637,1374,2748,1618,819,1159,2170,976
handbag:723,3333,2874,834,22,2380,3472,3060,2204,0,2811,1133,1592,1297,2225,1659,958,1805
backpack:119,525,147,1978,2834,447,666,282,637,2811,0,1875,3153,2045,938,1520,2656,1306
bird:733,2396,1973,588,1155,1506,2535,2151,1374,1133,1875,0,1413,357,1128,525,796,687
bird:749,3642,3274,1796,1597,2852,3776,3435,2748,1592,3153,1413,0,1130,2250,1633,720,1846
bird:708,2550,2159,925,1316,1724,2687,2327,1618,1297,2045,357,1130,0,1191,539,647,752
bird:753,1396,1076,1469,2248,796,1527,1213,819,2225,938,1128,2250,1191,0,653,1835,448
bird:757,2017,1641,1020,1680,1235,2153,1802,1159,1659,1520,525,1633,539,653,0,1181,215
bird:745,3171,2761,1083,969,2300,3310,2935,2170,958,2656,796,720,647,1835,1181,0,1390
bird:736,1802,1429,1100,1827,1036,1938,1588,976,1805,1306,687,1846,752,448,215,1390,0
