,person:1,person:2,person:3,person:4,person:5,person:9,person:66,kite:71,person:73,bird:45,handbag:84,bird:86,bird:88,bird:87
person:1,0,864,2624,1946,1325,2281,3103,3158,3411,878,1431,1598,1189,904
person:2,864,0,1764,1093,463,1423,2242,2375,2554,1441,585,1158,867,726
person:3,2624,1764,0,684,1300,344,479,995,793,2998,1195,1739,1914,2067
person:4,1946,1093,684,0,635,340,1161,1361,1465,2326,514,1192,1280,1401
person:5,1325,463,1300,635,0,960,1779,1956,2092,1816,162,1091,961,957
person:9,2281,1423,344,340,960,0,822,1153,1131,2662,851,1456,1594,1733
person:66,3103,2242,479,1161,1779,822,0,922,327,3462,1674,2147,2360,2530
kite:71,3158,2375,995,1361,1956,1153,922,0,891,3278,1803,1805,2143,2387
person:73,3411,2554,793,1465,2092,1131,327,891,0,3736,1980,2373,2618,2804
bird:45,878,1441,2998,2326,1816,2662,3462,3278,3736,0,1854,1488,1138,932
handbag:84,1431,585,1195,514,162,851,1674,1803,1980,1854,0,985,912,957
bird:86,1598,1158,1739,1192,1091,1456,2147,1805,2373,1488,985,0,411,697
bird:88,1189,867,1914,1280,961,1594,2360,2143,2618,1138,912,411,0,286
bird:87,904,726,2067,1401,957,1733,2530,2387,2804,932,957,697,286,0
