,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:745,bird:736,bird:768,bird:769,bird:731,bird:756,bird:747
person:566,0,456,2468,3356,957,134,265,1136,3322,484,2761,1518,2181,3344,1918,3520,1734,1682,3014,3039
person:641,456,0,2016,2905,503,588,195,679,2870,123,2361,1178,1796,2937,1536,3158,1340,1276,2578,2614
person:648,2468,2016,0,888,1513,2602,2212,1343,853,1989,918,1342,919,1249,994,1755,1000,968,670,813
person:652,3356,2905,888,0,2401,3490,3100,2231,34,2876,1156,2136,1541,1013,1722,1621,1797,1792,548,724
person:658,957,503,1513,2401,0,1090,698,186,2367,488,1908,857,1370,2471,1123,2739,917,835,2083,2129
person:673,134,588,2602,3490,1090,0,395,1268,3456,618,2890,1641,2309,3474,2046,3644,1864,1814,3148,3172
person:675,265,195,2212,3100,698,395,0,874,3066,256,2543,1335,1972,3122,1711,3328,1519,1459,2771,2804
person:703,1136,679,1343,2231,186,1268,874,0,2196,673,1797,861,1286,2348,1055,2647,848,756,1932,1990
handbag:723,3322,2870,853,34,2367,3456,3066,2196,0,2842,1139,2106,1515,1014,1693,1622,1766,1761,530,712
backpack:119,484,123,1989,2876,488,618,256,673,2842,0,2289,1081,1717,2869,1455,3071,1264,1206,2530,2557
bird:708,2761,2361,918,1156,1908,2890,2543,1797,1139,2289,0,1284,589,587,850,886,1026,1085,609,451
bird:753,1518,1178,1342,2136,857,1641,1335,861,2106,1081,1284,0,695,1871,442,2002,343,382,1673,1637
bird:757,2181,1796,919,1541,1370,2309,1972,1286,1515,1717,589,695,0,1176,263,1369,456,534,1029,959
bird:745,3344,2937,1249,1013,2471,3474,3122,2348,1014,2869,587,1871,1176,0,1437,608,1610,1663,628,439
bird:736,1918,1536,994,1722,1123,2046,1711,1055,1693,1455,850,442,263,1437,0,1623,207,301,1239,1194
bird:768,3520,3158,1755,1621,2739,3644,3328,2647,1622,3071,886,2002,1369,608,1623,0,1825,1903,1209,1001
bird:769,1734,1340,1000,1797,917,1864,1519,848,1766,1264,1026,343,456,1610,207,1825,0,102,1349,1332
bird:731,1682,1276,968,1792,835,1814,1459,756,1761,1206,1085,382,534,1663,301,1903,102,0,1366,1365
bird:756,3014,2578,670,548,2083,3148,2771,1932,530,2530,609,1673,1029,628,1239,1209,1349,1366,0,212
bird:747,3039,2614,813,724,2129,3172,2804,1990,712,2557,451,1637,959,439,1194,1001,1332,1365,212,0
