,person:566,person:641,person:648,person:652,person:658,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:745,bird:736,bird:733,bird:775,bird:776
person:566,0,388,2463,3367,961,123,1128,3312,422,3046,1704,2425,3667,2125,2744,3156,1859
person:641,388,0,2082,2986,578,511,741,2931,136,2710,1419,2097,3326,1803,2389,2795,1539
person:648,2463,2082,0,904,1503,2586,1344,849,2045,1031,1243,830,1492,884,611,841,980
person:652,3367,2986,904,0,2407,3490,2247,54,2949,1028,2016,1341,1057,1558,878,580,1751
person:658,961,578,1503,2407,0,1084,175,2353,552,2172,1001,1577,2779,1298,1830,2227,1048
person:673,123,511,2586,3490,1084,0,1251,3436,544,3162,1810,2539,3783,2239,2863,3277,1972
person:703,1128,741,1344,2247,175,1251,0,2193,724,2060,981,1482,2659,1217,1702,2089,983
handbag:723,3312,2931,849,54,2353,3436,2193,0,2895,1004,1966,1297,1064,1510,836,558,1700
backpack:119,422,136,2045,2949,552,544,724,2895,0,2631,1313,2012,3250,1715,2322,2734,1449
bird:708,3046,2710,1031,1028,2172,3162,2060,1004,2631,0,1400,626,623,929,423,448,1194
bird:753,1704,1419,1243,2016,1001,1810,981,1966,1313,1400,0,779,2020,485,1198,1623,267
bird:757,2425,2097,830,1341,1577,2539,1482,1297,2012,626,779,0,1249,302,465,868,568
bird:745,3667,3326,1492,1057,2779,3783,2659,1064,3250,623,2020,1249,0,1552,962,660,1817
bird:736,2125,1803,884,1558,1298,2239,1217,1510,1715,929,485,302,1552,0,716,1139,266
bird:733,2744,2389,611,878,1830,2863,1702,836,2322,423,1198,465,962,716,0,427,950
bird:775,3156,2795,841,580,2227,3277,2089,558,2734,448,1623,868,660,1139,427,0,1377
bird:776,1859,1539,980,1751,1048,1972,983,1700,1449,1194,267,568,1817,266,950,1377,0
