,person:566,person:641,person:648,person:652,person:658,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:745,bird:736,bird:733,bird:776
person:566,0,409,2460,3367,954,124,1123,3310,403,3104,1755,2483,3708,2190,2781,1895
person:641,409,0,2058,2964,547,533,715,2907,128,2746,1449,2133,3345,1845,2402,1553
person:648,2460,2058,0,906,1510,2585,1347,849,2062,1066,1213,830,1526,858,607,952
person:652,3367,2964,906,0,2416,3492,2253,57,2968,1012,1976,1301,1066,1506,830,1716
person:658,954,547,1510,2416,0,1078,172,2359,566,2244,1063,1649,2835,1375,1877,1098
person:673,124,533,2585,3492,1078,0,1248,3434,526,3221,1863,2598,3825,2304,2901,2009
person:703,1123,715,1347,2253,172,1248,0,2196,739,2121,1021,1540,2704,1278,1738,1015
handbag:723,3310,2907,849,57,2359,3434,2196,0,2911,991,1924,1257,1078,1457,787,1664
backpack:119,403,128,2062,2968,566,526,739,2911,0,2706,1379,2087,3309,1796,2377,1502
bird:708,3104,2746,1066,1012,2244,3221,2121,991,2706,0,1407,626,606,921,459,1215
bird:753,1755,1449,1213,1976,1063,1863,1021,1924,1379,1407,0,786,2010,500,1199,264
bird:757,2483,2133,830,1301,1649,2598,1540,1257,2087,626,786,0,1232,295,472,589
bird:745,3708,3345,1526,1066,2835,3825,2704,1078,3309,606,2010,1232,0,1528,975,1821
bird:736,2190,1845,858,1506,1375,2304,1278,1457,1796,921,500,295,1528,0,704,295
bird:733,2781,2402,607,830,1877,2901,1738,787,2377,459,1199,472,975,704,0,957
bird:776,1895,1553,952,1716,1098,2009,1015,1664,1502,1215,264,589,1821,295,957,0
