,person:566,person:641,person:648,person:652,person:658,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,bird:733,person:778,bird:779
person:566,0,359,2458,3368,946,125,1117,3307,386,3159,1801,2550,2234,2822,532,1489
person:641,359,0,2107,3017,592,483,760,2956,131,2849,1536,2248,1936,2494,174,1272
person:648,2458,2107,0,910,1515,2583,1350,849,2076,1097,1188,836,843,630,1933,1520
person:652,3368,3017,910,0,2425,3493,2260,61,2986,994,1942,1260,1472,801,2843,2320
person:658,946,592,1515,2425,0,1072,172,2364,575,2305,1108,1721,1424,1926,418,974
person:673,125,483,2583,3493,1072,0,1242,3432,510,3277,1911,2667,2351,2944,656,1591
person:703,1117,760,1350,2260,172,1242,0,2199,748,2176,1055,1606,1319,1783,586,985
handbag:723,3307,2956,849,61,2364,3432,2199,0,2924,974,1887,1214,1420,757,2782,2263
backpack:119,386,131,2076,2986,575,510,748,2924,0,2777,1440,2171,1857,2436,197,1159
bird:708,3159,2849,1097,994,2305,3277,2176,974,2777,0,1417,614,932,467,2690,1805
bird:753,1801,1536,1188,1942,1108,1911,1055,1887,1440,1417,0,808,502,1199,1403,393
bird:757,2550,2248,836,1260,1721,2667,1606,1214,2171,614,808,0,317,459,2093,1200
bird:736,2234,1936,843,1472,1424,2351,1319,1420,1857,932,502,317,0,702,1784,895
bird:733,2822,2494,630,801,1926,2944,1783,757,2436,467,1199,459,702,0,2328,1591
person:778,532,174,1933,2843,418,656,586,2782,197,2690,1403,2093,1784,2328,0,1168
bird:779,1489,1272,1520,2320,974,1591,985,2263,1159,1805,393,1200,895,1591,1168,0
