,person:566,person:641,person:648,person:652,person:658,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,bird:733,person:778,bird:779,bird:747,bird:776
person:566,0,322,2455,3368,945,125,1107,3306,373,3205,1843,2620,2271,2870,527,1526,3305,1984
person:641,322,0,2143,3056,628,444,789,2993,132,2930,1610,2353,2008,2579,207,1332,3018,1721
person:648,2455,2143,0,912,1516,2581,1358,850,2085,1117,1169,848,829,661,1936,1484,1052,876
person:652,3368,3056,912,0,2429,3493,2270,63,2997,955,1906,1207,1432,761,2849,2274,699,1619
person:658,945,628,1516,2429,0,1070,162,2366,586,2356,1158,1798,1468,1980,421,1005,2421,1189
person:673,125,444,2581,3493,1070,0,1232,3431,498,3326,1957,2740,2391,2993,650,1632,3428,2104
person:703,1107,789,1358,2270,162,1232,0,2207,748,2225,1092,1678,1357,1838,582,993,2280,1087
handbag:723,3306,2993,850,63,2366,3431,2207,0,2935,948,1855,1170,1385,725,2787,2221,701,1567
backpack:119,373,132,2085,2997,586,498,748,2935,0,2837,1497,2256,1909,2497,197,1208,2933,1621
bird:708,3205,2930,1117,955,2356,3326,2225,948,2837,0,1426,592,941,455,2740,1812,273,1224
bird:753,1843,1610,1169,1906,1158,1957,1092,1855,1497,1426,0,837,502,1208,1451,388,1590,296
bird:757,2620,2353,848,1207,1798,2740,1678,1170,2256,592,837,0,350,446,2168,1225,759,635
bird:736,2271,2008,829,1432,1468,2391,1357,1385,1909,941,502,350,0,709,1826,891,1089,287
bird:733,2870,2579,661,761,1980,2993,1838,725,2497,455,1208,446,709,0,2382,1593,441,947
person:778,527,207,1936,2849,421,650,582,2787,197,2740,1451,2168,1826,2382,0,1202,2821,1540
bird:779,1526,1332,1484,2274,1005,1632,993,2221,1208,1812,388,1225,891,1593,1202,0,1979,656
bird:747,3305,3018,1052,699,2421,3428,2280,701,2933,273,1590,759,1089,441,2821,1979,0,1354
bird:776,1984,1721,876,1619,1189,2104,1087,1567,1621,1224,296,635,287,947,1540,656,1354,0
