,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,handbag:84,bird:86,bird:88
person:1,0,865,2613,1942,1327,2282,3095,3150,3412,1439,1580,1138
person:2,865,0,1751,1089,463,1422,2233,2362,2555,586,1195,872
person:3,2613,1751,0,676,1287,331,482,973,806,1175,1827,1970
person:4,1942,1089,676,0,629,344,1157,1348,1470,504,1286,1339
person:5,1327,463,1287,629,0,959,1769,1940,2091,148,1160,998
person:9,2282,1422,331,344,959,0,814,1132,1132,843,1556,1661
person:66,3095,2233,482,1157,1769,814,0,892,338,1657,2237,2422
bird:71,3150,2362,973,1348,1940,1132,892,0,859,1794,1890,2214
person:73,3412,2555,806,1470,2091,1132,338,859,0,1973,2466,2688
handbag:84,1439,586,1175,504,148,843,1657,1794,1973,0,1088,983
bird:86,1580,1195,1827,1286,1160,1556,2237,1890,2466,1088,0,442
bird:88,1138,872,1970,1339,998,1661,2422,2214,2688,983,442,0
