,person:566,person:641,person:648,person:652,person:658,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,bird:733,person:778,bird:779,bird:780,bird:747,bird:776
person:566,0,294,2451,3367,942,123,1102,3305,356,3259,1893,2699,2327,2913,523,1570,1460,3325,2019
person:641,294,0,2165,3082,652,415,811,3019,134,3007,1677,2453,2084,2646,230,1386,1265,3062,1774
person:648,2451,2165,0,916,1515,2574,1357,854,2098,1154,1147,870,813,689,1935,1452,1418,1078,839
person:652,3367,3082,916,0,2431,3491,2274,63,3014,939,1870,1159,1384,727,2852,2236,2236,708,1577
person:658,942,652,1515,2431,0,1065,160,2369,602,2412,1206,1878,1523,2026,421,1035,899,2447,1219
person:673,123,415,2574,3491,1065,0,1225,3429,479,3378,2005,2817,2445,3035,645,1675,1569,3446,2137
person:703,1102,811,1357,2274,160,1225,0,2211,761,2278,1131,1754,1407,1882,581,1011,876,2304,1110
handbag:723,3305,3019,854,63,2369,3429,2211,0,2952,940,1821,1128,1341,696,2790,2185,2182,714,1526
backpack:119,356,134,2098,3014,602,479,761,2952,0,2907,1558,2349,1978,2556,211,1258,1140,2970,1669
bird:708,3259,3007,1154,939,2412,3378,2278,940,2907,0,1435,568,940,465,2797,1823,1879,243,1243
bird:753,1893,1677,1147,1870,1206,2005,1131,1821,1558,1435,0,870,514,1210,1501,390,449,1561,309
bird:757,2699,2453,870,1159,1878,2817,1754,1128,2349,568,870,0,373,432,2249,1259,1311,699,680
bird:736,2327,2084,813,1384,1523,2445,1407,1341,1978,940,514,373,0,698,1883,904,945,1049,309
bird:733,2913,2646,689,727,2026,3035,1882,696,2556,465,1210,432,698,0,2427,1596,1621,422,951
person:778,523,230,1935,2852,421,645,581,2790,211,2797,1501,2249,1883,2427,0,1241,1113,2846,1574
bird:779,1570,1386,1452,2236,1035,1675,1011,2185,1258,1823,390,1259,904,1596,1241,0,136,1952,659
bird:780,1460,1265,1418,2236,899,1569,876,2182,1140,1879,449,1311,945,1621,1113,136,0,1993,671
bird:747,3325,3062,1078,708,2447,3446,2304,714,2970,243,1561,699,1049,422,2846,1952,1993,0,1333
bird:776,2019,1774,839,1577,1219,2137,1110,1526,1669,1243,309,680,309,951,1574,659,671,1333,0
