,person:566,person:641,person:648,person:652,person:658,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,person:778,bird:779,bird:780,bird:747,bird:776,bird:781
person:566,0,270,2454,3375,952,114,1094,3315,337,3447,2004,2866,2464,532,1664,1495,3423,2094,2022
person:641,270,0,2187,3109,682,384,824,3049,126,3206,1793,2631,2231,261,1480,1299,3175,1861,1781
person:648,2454,2187,0,922,1508,2568,1369,861,2122,1274,1110,934,811,1929,1411,1375,1164,812,736
person:652,3375,3109,922,0,2430,3490,2291,60,3043,913,1804,1087,1302,2851,2182,2199,731,1529,1514
person:658,952,682,1508,2430,0,1067,141,2369,634,2582,1296,2029,1644,422,1101,903,2535,1282,1180
person:673,114,384,2568,3490,1067,0,1208,3430,450,3557,2105,2974,2572,646,1759,1594,3534,2202,2132
person:703,1094,824,1369,2291,141,1208,0,2231,775,2462,1226,1918,1540,563,1073,879,2411,1185,1076
handbag:723,3315,3049,861,60,2369,3430,2231,0,2983,912,1752,1052,1254,2791,2128,2142,731,1475,1458
backpack:119,337,126,2122,3043,634,450,775,2983,0,3111,1682,2532,2131,241,1360,1182,3086,1761,1685
bird:708,3447,3206,1274,913,2582,3557,2462,912,3111,0,1524,596,996,2972,1932,2030,181,1359,1425
bird:753,2004,1793,1110,1804,1296,2105,1226,1752,1682,1524,0,929,544,1599,409,518,1551,298,389
bird:757,2866,2631,934,1087,2029,2974,1918,1052,2532,596,929,0,403,2404,1337,1433,631,771,852
bird:736,2464,2231,811,1302,1644,2572,1540,1254,2131,996,544,403,0,2009,952,1034,1009,370,463
person:778,532,261,1929,2851,422,646,563,2791,241,2972,1599,2404,2009,0,1321,1130,2935,1640,1552
bird:779,1664,1480,1411,2182,1101,1759,1073,2128,1360,1932,409,1337,952,1321,0,198,1960,653,683
bird:780,1495,1299,1375,2199,903,1594,879,2142,1182,2030,518,1433,1034,1130,198,0,2042,693,684
bird:747,3423,3175,1164,731,2535,3534,2411,731,3086,181,1551,631,1009,2935,1960,2042,0,1355,1406
bird:776,2094,1861,812,1529,1282,2202,1185,1475,1761,1359,298,771,370,1640,653,693,1355,0,133
bird:781,2022,1781,736,1514,1180,2132,1076,1458,1685,1425,389,852,463,1552,683,684,1406,133,0
