,person:566,person:641,person:648,person:652,person:658,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,person:778,bird:779,bird:780,bird:747,bird:783
person:566,0,256,2450,3373,949,117,1079,3312,326,3523,2077,2949,2534,527,1706,1501,3462,3193
person:641,256,0,2197,3120,694,374,823,3059,133,3290,1872,2722,2309,271,1527,1307,3224,2963
person:648,2450,2197,0,923,1506,2567,1381,862,2135,1316,1084,974,805,1930,1405,1342,1189,1098
person:652,3373,3120,923,0,2429,3491,2304,61,3058,885,1752,1051,1247,2854,2167,2171,717,946
person:658,949,694,1506,2429,0,1067,130,2367,650,2649,1353,2105,1704,425,1134,882,2570,2335
person:673,117,374,2567,3491,1067,0,1196,3429,439,3634,2179,3058,2642,645,1800,1601,3575,3303
person:703,1079,823,1381,2304,130,1196,0,2242,780,2543,1295,2009,1614,552,1117,866,2460,2235
handbag:723,3312,3059,862,61,2367,3429,2242,0,2996,890,1700,1020,1200,2792,2112,2113,721,928
backpack:119,326,133,2135,3058,650,439,780,2996,0,3197,1759,2624,2209,259,1404,1188,3136,2867
bird:708,3523,3290,1316,885,2649,3634,2543,890,3197,0,1539,598,1007,3047,1989,2095,169,345
bird:753,2077,1872,1084,1752,1353,2179,1295,1700,1759,1539,0,940,548,1671,451,581,1526,1193
bird:757,2949,2722,974,1051,2105,3058,2009,1020,2624,598,940,0,416,2488,1391,1500,599,253
bird:736,2534,2309,805,1247,1704,2642,1614,1200,2209,1007,548,416,0,2079,997,1088,981,665
person:778,527,271,1930,2854,425,645,552,2792,259,3047,1671,2488,2079,0,1365,1128,2975,2726
bird:779,1706,1527,1405,2167,1134,1800,1117,2112,1404,1989,451,1391,997,1365,0,252,1977,1643
bird:780,1501,1307,1342,2171,882,1601,866,2113,1188,2095,581,1500,1088,1128,252,0,2064,1752
bird:747,3462,3224,1189,717,2570,3575,2460,721,3136,169,1526,599,981,2975,1977,2064,0,367
bird:783,3193,2963,1098,946,2335,3303,2235,928,2867,345,1193,253,665,2726,1643,1752,367,0
