,person:566,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,person:778,bird:779,bird:780,bird:747,bird:783
person:566,0,238,2450,3380,114,1050,3308,312,3656,2187,3116,2670,528,1807,1543,3542,3250
person:641,238,0,2213,3143,353,811,3071,129,3435,1990,2901,2455,289,1634,1354,3318,3032
person:648,2450,2213,0,929,2563,1409,858,2150,1416,1054,1070,802,1928,1379,1294,1255,1122
person:652,3380,3143,929,0,3492,2338,71,3079,901,1683,1006,1141,2857,2120,2128,732,920
person:673,114,353,2563,3492,0,1164,3421,418,3762,2282,3219,2773,642,1892,1637,3649,3354
person:703,1050,811,1409,2338,1164,0,2267,767,2695,1402,2192,1755,522,1202,882,2564,2309
handbag:723,3308,3071,858,71,3421,2267,0,3007,913,1622,976,1087,2786,2056,2059,740,899
backpack:119,312,129,2150,3079,418,767,3007,0,3344,1880,2804,2358,270,1514,1240,3230,2938
bird:708,3656,3435,1416,901,3762,2695,913,3344,0,1570,572,1000,3173,2043,2182,177,420
bird:753,2187,1990,1054,1683,2282,1402,1622,1880,1570,0,998,592,1769,474,646,1503,1150
bird:757,3116,2901,1070,1006,3219,2192,976,2804,572,998,0,445,2648,1470,1618,527,155
bird:736,2670,2455,802,1141,2773,1755,1087,2358,1000,592,445,0,2204,1065,1182,916,583
person:778,528,289,1928,2857,642,522,2786,270,3173,1769,2648,2204,0,1454,1153,3050,2775
bird:779,1807,1634,1379,2120,1892,1202,2056,1514,2043,474,1470,1065,1454,0,319,1977,1623
bird:780,1543,1354,1294,2128,1637,882,2059,1240,2182,646,1618,1182,1153,319,0,2094,1763
bird:747,3542,3318,1255,732,3649,2564,740,3230,177,1503,527,916,3050,1977,2094,0,374
bird:783,3250,3032,1122,920,3354,2309,899,2938,420,1150,155,583,2775,1623,1763,374,0
