,person:566,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,person:778,bird:779,bird:780
person:566,0,226,2451,3382,109,1034,3304,303,3698,2238,3195,2718,528,1853,1571
person:641,226,0,2227,3158,335,808,3080,139,3488,2051,2990,2514,302,1687,1391
person:648,2451,2227,0,931,2559,1426,852,2165,1450,1043,1124,814,1929,1355,1285
person:652,3382,3158,931,0,3490,2357,78,3095,910,1648,991,1108,2860,2084,2113
person:673,109,335,2559,3490,0,1143,3411,403,3798,2329,3292,2816,637,1934,1659
person:703,1034,808,1426,2357,1143,0,2278,768,2750,1456,2282,1813,506,1238,912
handbag:723,3304,3080,852,78,3411,2278,0,3016,933,1586,971,1057,2782,2018,2040
backpack:119,303,139,2165,3095,403,768,3016,0,3395,1937,2891,2415,289,1561,1272
bird:708,3698,3488,1450,910,3798,2750,933,3395,0,1560,537,993,3214,2037,2200
bird:753,2238,2051,1043,1648,2329,1456,1586,1937,1560,0,1024,592,1819,478,671
bird:757,3195,2990,1124,991,3292,2282,971,2891,537,1024,0,476,2726,1500,1672
bird:736,2718,2514,814,1108,2816,1813,1057,2415,993,592,476,0,2251,1068,1207
person:778,528,302,1929,2860,637,506,2782,289,3214,1819,2726,2251,0,1495,1181
bird:779,1853,1687,1355,2084,1934,1238,2018,1561,2037,478,1500,1068,1495,0,326
bird:780,1571,1391,1285,2113,1659,912,2040,1272,2200,671,1672,1207,1181,326,0
