,person:566,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,bird:757,bird:736,person:778,bird:779
person:566,0,212,2453,3388,105,1017,3302,291,2304,3286,2757,534,1902
person:641,212,0,2243,3178,317,805,3092,138,2129,3096,2567,321,1746
person:648,2453,2243,0,935,2556,1445,849,2178,1035,1191,824,1925,1324
person:652,3388,3178,935,0,3491,2379,86,3112,1610,989,1087,2860,2044
person:673,105,317,2556,3491,0,1122,3406,386,2389,3379,2851,639,1980
person:703,1017,805,1445,2379,1122,0,2293,761,1525,2387,1865,484,1275
handbag:723,3302,3092,849,86,3406,2293,0,3026,1545,977,1034,2774,1972
backpack:119,291,138,2178,3112,386,761,3026,0,2014,2995,2466,301,1621
bird:753,2304,2129,1035,1610,2389,1525,1545,2014,0,1048,572,1877,485
bird:757,3286,3096,1191,989,3379,2387,977,2995,1048,0,528,2812,1532
bird:736,2757,2567,824,1087,2851,1865,1034,2466,572,528,0,2284,1053
person:778,534,321,1925,2860,639,484,2774,301,1877,2812,2284,0,1535
bird:779,1902,1746,1324,2044,1980,1275,1972,1621,485,1532,1053,1535,0
