,person:566,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,bird:757,bird:736,person:778,bird:779,bird:787,bird:788
person:566,0,205,2457,3393,103,1007,3307,281,2367,3377,2826,534,1949,1642,3652
person:641,205,0,2255,3191,308,802,3105,138,2200,3195,2643,329,1799,1484,3464
person:648,2457,2255,0,935,2558,1460,849,2192,1027,1260,848,1929,1290,1269,1381
person:652,3393,3191,935,0,3493,2394,85,3127,1573,1001,1053,2865,2001,2087,844
person:673,103,308,2558,3493,0,1110,3408,373,2451,3467,2917,637,2024,1722,3745
person:703,1007,802,1460,2394,1110,0,2309,762,1589,2486,1939,473,1308,991,2724
handbag:723,3307,3105,849,85,3408,2309,0,3041,1506,988,998,2779,1927,2006,863
backpack:119,281,138,2192,3127,373,762,3041,0,2088,3096,2545,309,1676,1366,3372
bird:753,2367,2200,1027,1573,2451,1589,1506,2088,0,1072,578,1938,493,735,1407
bird:757,3377,3195,1260,1001,3467,2486,988,3096,1072,0,551,2903,1564,1791,364
bird:736,2826,2643,848,1053,2917,1939,998,2545,578,551,0,2351,1065,1258,847
person:778,534,329,1929,2865,637,473,2779,309,1938,2903,2351,0,1573,1250,3160
bird:779,1949,1799,1290,2001,2024,1308,1927,1676,493,1564,1065,1573,0,324,1900
bird:787,1642,1484,1269,2087,1722,991,2006,1366,735,1791,1258,1250,324,0,2106
bird:788,3652,3464,1381,844,3745,2724,863,3372,1407,364,847,3160,1900,2106,0
