,person:566,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,bird:736,person:778,bird:779,bird:787,bird:783,bird:766,bird:757
person:566,0,188,2475,3413,76,1006,3332,241,2567,3092,547,2080,1734,3355,2973,3642
person:641,188,0,2297,3235,262,823,3154,120,2430,2938,362,1958,1603,3199,2806,3491
person:648,2475,2297,0,938,2551,1478,856,2239,1030,980,1938,1203,1176,1158,637,1483
person:652,3413,3235,938,0,3489,2415,82,3176,1458,933,2875,1876,1985,868,629,1080
person:673,76,262,2551,3489,0,1082,3408,315,2635,3164,623,2145,1801,3427,3048,3713
person:703,1006,823,1478,2415,1082,0,2335,779,1763,2190,461,1383,1021,2443,2014,2749
handbag:723,3332,3154,856,82,3408,2335,0,3095,1392,888,2794,1801,1905,845,562,1077
backpack:119,241,120,2239,3176,315,779,3095,0,2332,2851,332,1852,1501,3114,2732,3402
bird:753,2567,2430,1030,1458,2635,1763,1392,2332,0,645,2129,535,836,898,830,1120
bird:736,3092,2938,980,933,3164,2190,888,2851,645,0,2608,1167,1412,266,409,559
person:778,547,362,1938,2875,623,461,2794,332,2129,2608,0,1687,1323,2866,2458,3164
bird:779,2080,1958,1203,1876,2145,1383,1801,1852,535,1167,1687,0,366,1427,1259,1655
bird:787,1734,1603,1176,1985,1801,1021,1905,1501,836,1412,1323,366,0,1679,1410,1939
bird:783,3355,3199,1158,868,3427,2443,845,3114,898,266,2866,1427,1679,0,527,325
bird:766,2973,2806,637,629,3048,2014,562,2732,830,409,2458,1259,1410,527,0,849
bird:757,3642,3491,1483,1080,3713,2749,1077,3402,1120,559,3164,1655,1939,325,849,0
