,person:566,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,bird:736,person:778,bird:779,bird:787,bird:757
person:566,0,175,2482,3423,64,1014,3340,230,2647,3208,553,2137,1763,3744
person:641,175,0,2321,3262,237,847,3179,130,2528,3071,384,2032,1649,3611
person:648,2482,2321,0,940,2547,1478,857,2257,1043,1041,1939,1189,1142,1567
person:652,3423,3262,940,0,3488,2418,84,3198,1425,888,2879,1846,1953,1122
person:673,64,237,2547,3488,0,1079,3404,293,2706,3270,617,2193,1821,3804
person:703,1014,847,1478,2418,1079,0,2335,798,1832,2294,463,1427,1031,2845
handbag:723,3340,3179,857,84,3404,2335,0,3114,1357,847,2796,1768,1870,1122
backpack:119,230,130,2257,3198,293,798,3114,0,2422,2978,349,1918,1540,3514
bird:753,2647,2528,1043,1425,2706,1832,1357,2422,0,691,2203,557,885,1138
bird:736,3208,3071,1041,888,3270,2294,847,2978,691,0,2716,1232,1494,553
person:778,553,384,1939,2879,617,463,2796,349,2203,2716,0,1737,1342,3261
bird:779,2137,2032,1189,1846,2193,1427,1768,1918,557,1232,1737,0,398,1696
bird:787,1763,1649,1142,1953,1821,1031,1870,1540,885,1494,1342,398,0,2004
bird:757,3744,3611,1567,1122,3804,2845,1122,3514,1138,553,3261,1696,2004,0
