,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,bird:736,person:778,bird:779,bird:787,person:675
person:641,0,2340,3281,219,863,3197,126,2618,3162,402,2104,1693,186
person:648,2340,0,941,2546,1480,857,2279,1064,1082,1938,1178,1121,2154
person:652,3281,941,0,3487,2421,84,3220,1392,851,2880,1809,1927,3095
person:673,219,2546,3487,0,1076,3403,270,2778,3342,616,2249,1848,399
person:703,863,1480,2421,1076,0,2337,817,1906,2366,461,1480,1055,678
handbag:723,3197,857,84,3403,2337,0,3135,1329,819,2796,1733,1844,3011
backpack:119,126,2279,3220,270,817,3135,0,2516,3073,366,1995,1588,167
bird:753,2618,1064,1392,2778,1906,1329,2516,0,708,2273,572,930,2451
bird:736,3162,1082,851,3342,2366,819,3073,708,0,2786,1260,1543,2983
person:778,402,1938,2880,616,461,2796,366,2273,2786,0,1789,1365,217
bird:779,2104,1178,1809,2249,1480,1733,1995,572,1260,1789,0,427,1948
bird:787,1693,1121,1927,1848,1055,1844,1588,930,1543,1365,427,0,1531
person:675,186,2154,3095,399,678,3011,167,2451,2983,217,1948,1531,0
