,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,bird:736,person:778,bird:779,person:675
person:641,0,2359,3301,184,888,3215,81,2692,3222,426,2155,203
person:648,2359,0,942,2543,1482,855,2299,1092,1119,1941,1154,2163
person:652,3301,942,0,3485,2423,86,3241,1359,830,2883,1756,3105
person:673,184,2543,3485,0,1073,3398,246,2853,3394,611,2307,387
person:703,888,1482,2423,1073,0,2337,837,1985,2422,463,1534,687
handbag:723,3215,855,86,3398,2337,0,3154,1300,806,2797,1681,3019
backpack:119,81,2299,3241,246,837,3154,0,2615,3149,382,2076,174
bird:753,2692,1092,1359,2853,1985,1300,2615,0,701,2353,582,2537
bird:736,3222,1119,830,3394,2422,806,3149,701,0,2842,1252,3047
person:778,426,1941,2883,611,463,2797,382,2353,2842,0,1848,224
bird:779,2155,1154,1756,2307,1534,1681,2076,582,1252,1848,0,2015
person:675,203,2163,3105,387,687,3019,174,2537,3047,224,2015,0
