,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,person:778,bird:779,person:675,bird:791
person:641,0,2394,3332,158,919,3241,58,2860,467,2260,249,1782
person:648,2394,0,938,2547,1492,847,2336,1163,1946,1092,2167,1096
person:652,3332,938,0,3485,2430,92,3274,1313,2884,1647,3106,1871
person:673,158,2547,3485,0,1065,3394,216,3017,609,2415,385,1938
person:703,919,1492,2430,1065,0,2339,863,2139,457,1604,680,1143
handbag:723,3241,847,92,3394,2339,0,3183,1257,2794,1568,3015,1782
backpack:119,58,2336,3274,216,863,3183,0,2803,414,2203,203,1725
bird:753,2860,1163,1313,3017,2139,1257,2803,0,2510,619,2696,1080
person:778,467,1946,2884,609,457,2794,414,2510,0,1936,223,1456
bird:779,2260,1092,1647,2415,1604,1568,2203,619,1936,0,2109,480
person:675,249,2167,3106,385,680,3015,203,2696,223,2109,0,1628
bird:791,1782,1096,1871,1938,1143,1782,1725,1080,1456,480,1628,0
