,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,person:778,bird:779,person:675,bird:791,bird:794,bird:736
person:641,0,2419,3359,139,937,3263,59,2961,489,2332,272,1840,2443,3504
person:648,2419,0,941,2548,1500,845,2360,1204,1949,1062,2172,1073,888,1307
person:652,3359,941,0,3488,2440,96,3300,1289,2890,1588,3113,1836,1362,825
person:673,139,2548,3488,0,1058,3392,197,3101,605,2471,381,1980,2582,3642
person:703,937,1500,2440,1058,0,2345,880,2225,453,1650,677,1182,1697,2669
handbag:723,3263,845,96,3392,2345,0,3204,1238,2795,1508,3017,1745,1283,828
backpack:119,59,2360,3300,197,880,3204,0,2904,434,2275,223,1784,2385,3445
bird:753,2961,1204,1289,3101,2225,1238,2904,0,2592,640,2782,1122,528,734
person:778,489,1949,2890,605,453,2795,434,2592,0,1985,224,1495,2065,3085
bird:779,2332,1062,1588,2471,1650,1508,2275,640,1985,0,2164,492,225,1301
person:675,272,2172,3113,381,677,3017,223,2782,224,2164,0,1671,2257,3293
bird:791,1840,1073,1836,1980,1182,1745,1784,1122,1495,492,1671,0,617,1725
bird:794,2443,888,1362,2582,1697,1283,2385,528,2065,225,2257,617,0,1114
bird:736,3504,1307,825,3642,2669,828,3445,734,3085,1301,3293,1725,1114,0
